task_id_list	courier_id	total_score	willingness
T0003,T0014	C027	76.372	0.5715
T0001,T0004	C005	33.609	0.8693
T0007,T0012	C066	92.495	0.6271
T0011,T0029	C006	83.723	0.1588
T0003	C040	25.730	0.9441
T0000,T0010	C014	26.869	0.0456
T0010,T0020	C021	88.494	0.7518
T0006,T0009	C011	62.117	0.2346
T0013,T0023	C040	32.530	0.7227
T0013,T0022	C055	92.128	0.2690
T0003,T0010	C028	84.226	0.0100
T0014,T0029	C066	21.323	0.2299
T0009,T0024	C015	59.237	0.8594
T0004,T0016	C046	100.000	0.3357
T0010,T0025	C005	16.654	0.3741
T0014,T0028	C012	100.000	0.8635
T0010,T0027	C015	92.569	0.3834
T0000	C039	49.493	0.9500
T0008,T0022	C005	63.085	0.3647
T0000,T0014	C017	64.804	0.2516
T0004,T0020	C018	28.070	0.3366
T0008,T0020	C047	63.534	0.5580
T0003,T0020	C018	88.845	0.9341
T0003,T0009	C016	44.462	0.7308
T0003	C007	48.829	0.1962
T0000,T0014	C053	93.781	0.3846
T0007,T0023	C003	99.744	0.3629
T0005,T0010	C020	98.465	0.2749
T0014,T0023	C030	100.000	0.8204
T0008,T0011	C025	51.082	0.1427
T0010,T0026	C056	39.469	0.2043
T0015,T0028	C000	98.473	0.4066
T0011,T0016	C032	53.275	0.6889
T0001,T0012	C010	65.741	0.3868
T0025,T0028	C008	72.213	0.5610
T0024	C011	23.535	0.2480
T0022,T0026	C003	48.231	0.6360
T0022,T0024	C014	40.843	0.1560
T0000,T0019	C014	43.850	0.1534
T0010,T0022	C048	49.905	0.2183
T0011,T0014	C041	63.191	0.5059
T0020,T0026	C056	32.560	0.1692
T0023,T0029	C036	100.000	0.8497
T0003	C065	41.625	0.7136
T0018,T0024	C030	64.884	0.5205
T0003,T0021	C023	80.337	0.2588
T0014,T0026	C049	90.518	0.6958
T0020,T0028	C044	89.676	0.3584
T0000,T0007	C038	93.332	0.2959
T0002,T0015	C021	19.278	0.2888
T0001,T0003	C061	86.378	0.3500
T0005,T0012	C046	44.301	0.5767
T0025,T0026	C008	43.904	0.1007
T0025,T0026	C014	35.299	0.9105
T0014,T0022	C041	60.312	0.1998
T0023,T0027	C058	93.991	0.2270
T0003,T0021	C009	100.000	0.5004
T0017,T0028	C018	43.160	0.2404
T0013,T0026	C028	61.991	0.2561
T0013,T0026	C057	81.278	0.9229
T0026	C032	43.593	0.5325
T0001,T0015	C048	100.000	0.4913
T0003,T0010	C011	64.779	0.1589
T0002,T0020	C062	71.788	0.3225
T0017,T0024	C019	100.000	0.9266
T0006,T0022	C017	93.384	0.3834
T0004,T0025	C035	67.618	0.8876
T0005,T0017	C047	72.846	0.5115
T0004,T0026	C026	95.151	0.8714
T0000,T0019	C045	95.839	0.9500
T0023,T0024	C068	48.654	0.1797
T0007,T0022	C053	70.798	0.5143
T0000,T0022	C038	100.000	0.9332
T0015,T0021	C052	10.000	0.1970
T0007,T0020	C031	60.267	0.4291
T0001,T0022	C006	100.000	0.2546
T0004,T0029	C052	70.115	0.6416
T0003,T0027	C021	81.077	0.2210
T0023,T0026	C046	73.774	0.9419
T0001,T0008	C040	58.301	0.4684
T0014,T0016	C012	80.095	0.9076
T0005,T0026	C043	31.039	0.4947
