task_id_list	courier_id	total_score	willingness
T0011,T0020	C062	75.886	0.2695
T0024,T0039	C000	48.018	0.3832
T0011,T0023	C067	48.320	0.3092
T0007,T0030	C018	74.717	0.3042
T0023,T0025	C023	64.699	0.5628
T0027,T0033	C022	52.324	0.5591
T0007,T0026	C053	53.376	0.1129
T0005,T0009	C037	69.672	0.3700
T0013	C026	44.749	0.8818
T0016,T0018	C009	50.782	0.3143
T0013,T0032	C059	20.771	0.3414
T0024,T0039	C077	32.714	0.1076
T0003,T0038	C070	83.681	0.0696
T0028,T0033	C067	70.849	0.9487
T0014,T0035	C012	72.859	0.1061
T0018	C012	19.909	0.8926
T0037	C045	38.991	0.4265
T0014,T0018	C003	47.882	0.3582
T0029,T0036	C019	47.398	0.7580
T0008,T0017	C017	45.496	0.1539
T0005,T0026	C015	46.091	0.4017
T0022,T0026	C013	38.965	0.1335
T0014,T0024	C055	49.063	0.3343
T0022,T0028	C023	48.380	0.1092
T0010	C047	10.000	0.3472
T0012,T0037	C024	65.375	0.0188
T0001,T0039	C039	62.492	0.5878
T0005,T0011	C032	32.076	0.3150
T0015,T0038	C012	43.676	0.7925
T0018,T0039	C071	66.508	0.1872
T0007,T0035	C061	71.584	0.7168
T0016,T0021	C064	40.117	0.2615
T0009,T0029	C036	61.650	0.1388
T0015,T0028	C039	26.238	0.1182
T0031,T0035	C044	82.446	0.2678
T0004,T0020	C004	84.693	0.4596
T0012,T0037	C071	72.848	0.3117
T0008,T0009	C007	73.071	0.1326
T0007,T0018	C039	62.975	0.0660
T0017,T0033	C045	52.740	0.0548
T0022,T0027	C030	36.303	0.2836
T0006,T0012	C001	53.045	0.1537
T0015,T0028	C002	51.155	0.7887
T0001,T0039	C014	65.502	0.3058
T0007,T0025	C005	73.504	0.1229
T0030,T0034	C028	55.534	0.1056
T0010,T0013	C004	63.316	0.5431
T0001,T0037	C001	66.716	0.2104
T0012,T0013	C064	50.637	0.3715
T0002,T0003	C058	43.359	0.0780
T0016,T0024	C000	83.719	0.3449
T0001,T0027	C038	42.827	0.3525
T0001	C076	15.116	0.4876
T0018,T0034	C057	41.692	0.4919
T0004,T0010	C027	57.708	0.0983
T0002,T0005	C014	34.237	0.5234
T0002,T0016	C038	29.478	0.4821
T0020,T0034	C047	47.926	0.5956
T0002,T0039	C050	65.393	0.6136
T0002,T0026	C013	66.309	0.0652
T0011,T0038	C035	62.730	0.1061
T0019,T0024	C051	50.303	0.1271
T0001,T0011	C016	32.321	0.4137
T0029,T0030	C008	80.877	0.4360
T0009	C040	44.599	0.8514
T0013,T0030	C027	87.250	0.3156
T0017,T0033	C019	41.835	0.0100
T0010,T0034	C037	62.698	0.1345
T0021,T0033	C061	83.245	0.3214
T0000,T0033	C029	53.011	0.1607
T0018,T0039	C041	58.236	0.0301
T0024,T0028	C044	51.815	0.4751
T0013,T0033	C024	64.375	0.0906
T0015,T0029	C010	47.232	0.4052
T0003,T0025	C022	56.855	0.5559
T0004,T0024	C016	58.986	0.0765
T0012,T0019	C078	33.925	0.0901
T0019,T0033	C033	69.511	0.0522
