task_id_list	courier_id	total_score	willingness
T0024,T0028	C033	42.889	0.2991
T0011,T0024	C021	38.549	0.1031
T0007,T0013	C052	100.000	0.1485
T0011,T0021	C016	43.904	0.0613
T0010,T0014	C026	100.000	0.1998
T0008,T0010	C051	84.711	0.0707
T0002,T0005	C057	68.553	0.1277
T0005,T0022	C041	53.771	0.0505
T0007,T0010	C063	48.520	0.0100
T0003,T0012	C046	100.000	0.1557
T0006,T0008	C019	98.644	0.0100
T0010,T0022	C030	71.662	0.0892
T0008,T0022	C067	86.003	0.0805
T0017,T0020	C045	75.744	0.0317
T0005,T0011	C068	98.768	0.0100
T0000,T0005	C021	55.184	0.0949
T0012,T0023	C045	71.148	0.0100
T0010,T0024	C011	84.111	0.0850
T0016,T0018	C066	41.229	0.0160
T0000	C040	37.876	0.1517
T0000,T0014	C055	50.153	0.1103
T0003,T0017	C034	87.385	0.0565
T0011,T0015	C053	25.091	0.1173
T0008,T0018	C048	52.154	0.0557
T0015,T0016	C023	80.290	0.0938
T0016,T0026	C050	86.145	0.0100
T0002,T0013	C035	56.458	0.2033
T0023,T0027	C016	100.000	0.0985
T0012,T0026	C005	92.874	0.0774
T0014,T0019	C045	80.186	0.3324
T0011,T0021	C062	69.406	0.0690
T0001,T0007	C002	46.704	0.1017
T0001,T0010	C037	45.966	0.1360
T0000,T0024	C060	52.544	0.0100
T0006,T0015	C036	76.850	0.0722
T0003,T0006	C061	100.000	0.0128
T0008,T0014	C042	50.485	0.0904
T0003,T0004	C021	93.167	0.1641
T0013,T0029	C034	57.320	0.0740
T0020,T0024	C010	86.522	0.0719
T0003,T0013	C034	100.000	0.0596
T0007,T0012	C023	75.880	0.3026
T0000,T0004	C027	56.538	0.0100
T0028,T0029	C050	58.994	0.2117
T0025,T0026	C004	67.571	0.0462
T0012,T0017	C020	81.156	0.0715
T0012,T0023	C052	35.814	0.0899
T0010,T0023	C022	100.000	0.0532
T0001,T0025	C043	100.000	0.1060
T0002,T0012	C001	84.624	0.3875
T0000,T0001	C030	75.976	0.0332
T0014,T0021	C040	67.399	0.0100
T0003,T0015	C024	99.619	0.0952
T0009,T0010	C003	88.058	0.0788
T0015,T0022	C064	58.598	0.1944
T0018,T0024	C010	31.113	0.0590
T0011,T0024	C037	97.900	0.2407
T0003,T0023	C049	100.000	0.1058
T0024,T0029	C039	66.505	0.0156
T0011,T0012	C015	80.528	0.2755
T0005,T0020	C031	100.000	0.1286
T0006,T0011	C062	98.560	0.0426
T0011,T0020	C004	89.657	0.0248
T0006,T0026	C044	83.897	0.1154
T0002,T0012	C066	71.951	0.0765
T0001,T0027	C051	79.840	0.0486
T0003	C000	10.000	0.0943
T0013,T0021	C048	58.584	0.0868
T0018,T0028	C054	99.133	0.2748
T0017,T0028	C051	91.781	0.0233
T0003,T0026	C015	80.785	0.1015
T0008,T0014	C001	51.211	0.0939
T0010,T0021	C054	60.532	0.0584
T0009,T0010	C018	70.240	0.0143
T0015,T0024	C015	100.000	0.0659
T0017,T0029	C047	60.638	0.0953
T0021,T0025	C060	100.000	0.1499
T0017,T0026	C064	100.000	0.1447
T0009,T0028	C055	56.149	0.1056
T0001,T0021	C048	73.679	0.0100
T0006,T0024	C051	83.714	0.0721
T0005,T0006	C052	65.916	0.0554
T0003,T0013	C023	32.093	0.2240
T0014,T0016	C012	87.969	0.2024
T0016,T0017	C007	76.440	0.1133
T0008,T0029	C040	72.695	0.0175
T0019,T0027	C055	67.673	0.0560
T0008,T0017	C015	49.741	0.0100
T0007,T0028	C021	88.713	0.1847
T0011,T0017	C026	100.000	0.1014
T0007,T0010	C021	85.937	0.0416
T0000,T0020	C064	66.368	0.0997
T0000,T0008	C041	59.410	0.1302
T0012,T0026	C024	100.000	0.0262
T0020,T0029	C034	86.207	0.0718
T0001,T0025	C049	100.000	0.0513
T0029	C022	48.413	0.0739
T0018,T0020	C019	82.727	0.1054
T0007	C053	50.535	0.1891
T0012,T0029	C001	50.684	0.0605
T0010,T0012	C033	92.149	0.0620
T0000,T0009	C013	61.092	0.2909
T0014	C012	15.629	0.1009
T0000,T0009	C047	100.000	0.1983
T0009,T0010	C037	56.678	0.2715
T0010,T0016	C057	72.726	0.1856
T0017,T0029	C065	75.460	0.0328
T0003,T0015	C025	72.360	0.0738
T0000,T0021	C058	51.039	0.2494
T0011,T0025	C055	76.687	0.0699
T0024,T0029	C058	78.710	0.0100
T0006,T0029	C036	53.644	0.0149
T0004,T0024	C066	93.128	0.0356
T0007,T0022	C021	66.868	0.0554
T0006,T0029	C060	85.340	0.0301
T0008,T0027	C044	31.150	0.1396
T0009,T0029	C053	93.640	0.0309
T0013,T0022	C034	85.486	0.1159
T0018,T0028	C030	100.000	0.0626
T0002,T0018	C059	100.000	0.1469
T0019	C001	50.871	0.1367
T0013,T0015	C048	41.457	0.1037
T0011,T0028	C024	71.495	0.3250
T0016,T0017	C068	100.000	0.2135
T0001,T0011	C039	47.452	0.1114
T0000,T0011	C043	62.739	0.0444
T0014,T0019	C020	59.641	0.0865
T0002,T0018	C039	100.000	0.0565
T0009,T0025	C031	56.523	0.4160
T0003	C055	22.465	0.0919
T0009,T0026	C011	97.507	0.0813
T0009,T0025	C008	100.000	0.0100
T0002,T0027	C010	83.356	0.1024
T0009,T0018	C062	76.737	0.1819
T0023,T0026	C022	88.727	0.0616
T0006,T0029	C016	72.380	0.0714
T0001,T0027	C034	74.192	0.0700
T0004,T0012	C048	67.053	0.0100
T0022,T0024	C020	65.182	0.2132
T0007,T0014	C000	91.869	0.0682
T0020,T0024	C037	78.967	0.2531
T0021,T0029	C049	33.251	0.0436
T0008,T0017	C008	72.297	0.0101
T0006,T0021	C046	56.481	0.1635
T0021,T0026	C013	54.627	0.1081
T0009,T0028	C025	69.313	0.1737
T0005,T0020	C020	52.252	0.4120
T0016,T0020	C000	96.036	0.0100
T0008,T0018	C016	69.775	0.1523
T0014,T0015	C065	97.777	0.0881
T0010,T0016	C048	75.108	0.0100
T0009,T0011	C059	80.255	0.0931
T0002,T0025	C066	100.000	0.1294
T0003,T0009	C020	88.821	0.1746
T0018,T0028	C000	54.746	0.0666
T0004,T0019	C052	90.433	0.0342
T0004,T0014	C056	73.790	0.0126
T0004,T0012	C063	62.042	0.0627
T0006,T0013	C047	74.961	0.4132
T0016,T0018	C003	61.584	0.0671
T0001,T0019	C023	83.096	0.0734
T0000,T0003	C005	37.124	0.0983
T0024,T0027	C023	94.528	0.1519
T0001,T0007	C042	43.470	0.1207
T0007,T0027	C069	87.869	0.0963
T0012,T0014	C020	62.399	0.2805
T0008,T0017	C042	63.409	0.0100
T0006	C006	29.911	0.1385
T0012,T0017	C011	50.270	0.0992
T0008,T0017	C056	67.736	0.0704
T0017,T0027	C039	32.503	0.0523
T0008,T0020	C044	72.414	0.0684
T0004,T0026	C020	41.637	0.1198
T0013	C058	42.138	0.0596
T0005,T0029	C016	84.651	0.0363
T0009,T0028	C054	61.693	0.2363
T0018,T0023	C037	55.295	0.1547
T0012,T0022	C017	82.560	0.0100
T0019,T0028	C007	71.112	0.2715
T0016,T0022	C013	84.266	0.2075
T0003,T0023	C042	100.000	0.1152
T0002,T0026	C019	42.417	0.0990
T0001,T0013	C009	47.592	0.0636
T0007,T0023	C017	78.959	0.0100
T0018,T0026	C051	38.098	0.2972
T0006,T0017	C018	95.638	0.1982
T0001,T0026	C034	90.975	0.0951
T0016,T0024	C036	100.000	0.0678
T0029	C040	23.386	0.0930
T0005,T0007	C050	85.344	0.1150
T0016,T0025	C011	100.000	0.0906
T0008,T0029	C012	66.054	0.4056
T0010,T0027	C042	89.484	0.1707
T0005,T0029	C037	63.610	0.0881
T0026,T0027	C006	40.203	0.1414
T0003,T0007	C030	82.981	0.0101
T0004,T0026	C068	31.036	0.0128
T0005,T0018	C066	99.044	0.1320
T0008,T0016	C019	70.526	0.1866
T0000,T0017	C033	70.439	0.0229
T0008,T0027	C050	65.465	0.1448
T0004,T0019	C068	100.000	0.0258
T0011,T0012	C036	98.140	0.0433
T0003,T0028	C045	43.055	0.1205
T0003,T0018	C044	45.929	0.0841
T0012,T0023	C060	79.276	0.2393
T0000,T0014	C035	46.180	0.0493
T0009,T0024	C033	100.000	0.1948
T0008,T0028	C040	76.507	0.0100
T0005,T0019	C029	53.395	0.0100
T0002,T0012	C005	79.845	0.0100
T0005,T0011	C031	18.817	0.1768
T0010,T0026	C032	79.791	0.0217
T0009,T0011	C058	57.486	0.0503
T0019,T0026	C001	44.843	0.0900
T0003,T0029	C025	70.377	0.0597
T0007,T0026	C004	79.499	0.0100
T0003	C039	53.354	0.1575
T0015,T0016	C054	72.287	0.0100
T0025	C023	16.357	0.2334
T0009,T0020	C036	100.000	0.1687
T0017,T0023	C019	56.999	0.0944
T0012,T0017	C063	86.356	0.1211
T0016,T0021	C019	86.228	0.1121
T0001,T0006	C022	100.000	0.3982
T0025,T0027	C045	48.419	0.0485
T0008,T0010	C053	100.000	0.0634
T0008,T0029	C008	60.053	0.0708
T0012,T0027	C021	85.493	0.0753
T0005,T0020	C023	64.978	0.0367
T0000,T0008	C025	71.690	0.0232
T0020,T0027	C002	41.305	0.1046
T0003,T0008	C056	52.121	0.0368
T0008,T0017	C032	93.259	0.2716
T0014,T0029	C056	63.887	0.1083
T0012,T0014	C049	97.652	0.0100
T0012,T0023	C059	83.721	0.2128
T0022,T0028	C066	67.560	0.2660
T0000,T0009	C003	100.000	0.0799
T0004,T0023	C058	82.137	0.0754
T0000,T0008	C058	64.526	0.0510
T0005,T0027	C011	100.000	0.0853
T0017	C026	21.788	0.1424
T0017,T0029	C016	71.657	0.0210
T0008,T0027	C026	92.358	0.2281
T0009,T0020	C006	58.549	0.0946
T0010,T0023	C047	90.667	0.0758
T0003,T0016	C034	87.471	0.0444
T0011,T0015	C042	77.953	0.1241
T0008,T0026	C031	44.605	0.1635
T0018	C002	57.165	0.0892
T0004,T0006	C033	59.772	0.0100
T0010,T0016	C068	100.000	0.0100
T0006,T0022	C013	66.354	0.0255
T0005,T0029	C045	90.382	0.0735
T0017,T0026	C036	60.271	0.1994
T0002,T0004	C003	77.225	0.0737
T0009,T0019	C023	94.597	0.4216
T0016,T0029	C005	47.419	0.1043
T0009,T0016	C038	66.167	0.1208
T0014	C044	52.522	0.1380
T0000,T0014	C006	44.914	0.1141
T0012,T0013	C027	75.675	0.1233
T0000,T0002	C013	54.223	0.1050
T0015,T0020	C013	49.235	0.1874
T0004,T0022	C041	79.173	0.0254
T0005,T0026	C054	100.000	0.1962
T0017,T0025	C057	68.910	0.1081
T0009,T0013	C062	63.308	0.0763
T0023,T0028	C064	58.214	0.1591
T0013,T0024	C054	87.353	0.0540
T0011,T0023	C021	95.583	0.1568
T0006,T0023	C062	95.851	0.0794
T0000,T0022	C053	36.137	0.0844
T0019,T0026	C016	97.133	0.0249
T0019,T0020	C048	65.461	0.0485
T0015,T0018	C064	93.262	0.1083
T0009	C018	17.470	0.1152
T0024,T0025	C069	76.661	0.1249
T0011	C027	12.587	0.1139
T0015,T0016	C029	100.000	0.0723
T0002,T0013	C043	42.066	0.2265
T0009,T0024	C019	81.283	0.1730
T0000,T0002	C033	73.152	0.1005
T0006,T0007	C042	87.715	0.1074
T0005,T0015	C067	77.527	0.0158
T0019,T0024	C062	48.528	0.1134
T0010,T0028	C026	98.211	0.2695
T0006,T0014	C024	97.516	0.0343
T0022,T0029	C045	74.853	0.0721
T0001	C006	18.395	0.0187
T0017,T0019	C061	96.850	0.0751
T0003,T0025	C011	63.791	0.0574
T0009,T0027	C041	66.524	0.0445
T0023,T0025	C065	64.704	0.1853
T0001	C066	15.491	0.1750
T0003,T0004	C033	90.205	0.0775
T0017,T0020	C030	42.677	0.0597
T0018	C067	24.696	0.0361
T0002,T0018	C062	74.532	0.0440
T0005,T0011	C067	78.719	0.0100
T0001,T0027	C025	53.358	0.0139
T0003,T0020	C015	51.254	0.1002
T0004,T0007	C067	62.723	0.1002
T0024,T0026	C059	95.976	0.3115
T0024,T0029	C065	65.870	0.0314
T0000,T0005	C037	100.000	0.1274
T0009,T0027	C054	54.713	0.0419
T0000,T0007	C020	83.594	0.1184
T0011,T0028	C028	91.533	0.2504
T0000,T0023	C060	68.961	0.0395
T0023,T0024	C067	85.717	0.0509
T0017,T0020	C019	79.850	0.0100
T0003,T0029	C042	98.585	0.0486
T0016,T0029	C030	100.000	0.1296
T0003,T0029	C066	62.636	0.0888
T0007,T0023	C031	48.922	0.1570
T0017,T0028	C053	92.152	0.0401
T0002,T0017	C027	62.811	0.3029
T0023,T0027	C064	95.588	0.0122
T0027	C026	24.239	0.0858
T0004,T0024	C038	42.760	0.1039
T0010,T0027	C029	96.563	0.0100
T0004,T0006	C056	49.396	0.0181
T0004,T0024	C057	55.476	0.1253
T0005,T0012	C027	50.568	0.0388
T0002,T0003	C008	100.000	0.0362
T0006,T0010	C061	48.136	0.0388
T0006,T0024	C019	46.557	0.0224
T0013,T0020	C018	100.000	0.2016
T0008,T0019	C043	73.722	0.0682
T0001,T0020	C059	78.070	0.0519
T0014,T0027	C000	47.020	0.0388
T0000,T0021	C066	99.209	0.0727
T0004,T0026	C045	58.800	0.0847
T0002,T0018	C009	40.428	0.1186
T0006,T0024	C052	100.000	0.1213
T0010,T0015	C060	64.568	0.0441
T0021	C034	30.036	0.0598
T0008,T0016	C006	96.656	0.0643
T0020,T0028	C027	100.000	0.1689
T0010,T0029	C054	88.102	0.3382
T0007,T0022	C002	89.990	0.0834
T0026	C013	15.661	0.2457
T0006	C059	36.823	0.0677
T0017,T0020	C004	100.000	0.0827
T0001,T0008	C052	65.278	0.0302
T0021,T0027	C066	59.475	0.0100
T0000,T0013	C027	71.046	0.2360
T0004,T0007	C036	91.580	0.0483
T0009	C026	50.923	0.0313
T0000,T0027	C064	72.065	0.2960
T0006,T0028	C014	50.915	0.1325
T0022,T0028	C009	75.699	0.0544
T0006,T0008	C004	80.194	0.0538
T0000,T0028	C067	67.457	0.0885
T0015,T0026	C045	85.054	0.0269
T0011,T0025	C011	78.052	0.1925
T0004,T0029	C056	51.037	0.0594
T0026,T0029	C057	60.495	0.0852
T0010,T0027	C002	57.054	0.0754
T0003,T0015	C023	61.372	0.0847
T0006,T0020	C014	34.499	0.0597
T0002,T0007	C052	100.000	0.2594
T0010,T0029	C044	88.026	0.0100
T0005,T0025	C028	70.959	0.1358
T0011,T0012	C066	58.440	0.0101
T0000,T0020	C004	100.000	0.1797
T0020,T0021	C067	47.168	0.0465
T0013,T0019	C041	46.396	0.1692
T0002	C041	21.940	0.2010
T0022,T0026	C058	64.767	0.0412
T0008,T0014	C063	84.606	0.2383
T0007,T0019	C064	79.875	0.2342
T0004,T0025	C062	100.000	0.1468
T0023,T0026	C037	38.751	0.2444
T0020,T0028	C019	85.355	0.0961
T0019,T0024	C006	71.063	0.0449
T0016,T0021	C053	63.735	0.1376
T0008,T0017	C065	56.996	0.0537
T0002,T0005	C045	82.042	0.1630
T0004,T0010	C031	90.606	0.0843
T0008,T0013	C043	58.756	0.0914
T0008,T0024	C061	66.515	0.1233
T0015,T0020	C069	60.943	0.0697
T0009,T0017	C047	52.990	0.0760
T0024,T0028	C065	99.140	0.0973
T0004,T0028	C013	98.175	0.0694
T0003,T0021	C042	75.110	0.1345
