task_id_list	courier_id	total_score	willingness
T0001,T0029	C020	37.110	0.6070
T0012,T0014	C029	43.371	0.2805
T0002,T0011	C000	95.610	0.0754
T0026	C015	18.269	0.7174
T0007,T0009	C042	55.122	0.0100
T0007,T0022	C052	39.792	0.1202
T0011,T0023	C050	51.385	0.1358
T0008,T0017	C022	62.575	0.1135
T0014,T0027	C005	87.139	0.6445
T0009,T0019	C025	31.992	0.8652
T0021,T0028	C040	74.354	0.6660
T0009,T0029	C043	79.966	0.5357
T0006,T0026	C058	61.918	0.9073
T0002,T0019	C015	100.000	0.0953
T0027,T0028	C007	58.283	0.1363
T0003,T0009	C029	47.284	0.4716
T0003	C039	12.561	0.3972
T0017,T0029	C027	64.344	0.0100
T0003,T0024	C014	66.591	0.4386
T0024,T0029	C041	61.530	0.0985
T0019,T0028	C024	96.824	0.5503
T0012,T0015	C058	33.531	0.0958
T0014,T0023	C016	37.357	0.1817
T0016,T0020	C027	69.249	0.3722
T0006,T0014	C057	100.000	0.0519
T0015,T0026	C038	82.553	0.4235
T0013,T0017	C026	67.073	0.2340
T0001,T0019	C004	58.678	0.3178
T0004,T0009	C030	40.512	0.7436
T0006,T0012	C055	51.938	0.2525
T0022,T0028	C043	70.627	0.1571
T0005,T0020	C037	67.946	0.2854
T0013,T0028	C022	66.481	0.0672
T0002,T0025	C002	44.535	0.1164
T0022,T0023	C045	90.476	0.6770
T0013,T0014	C047	95.030	0.4432
T0015,T0018	C055	64.372	0.0955
T0012,T0024	C009	68.461	0.2849
T0006,T0013	C057	68.999	0.6188
T0003,T0028	C026	55.449	0.2193
T0006,T0009	C020	78.576	0.0910
T0004,T0018	C029	45.999	0.1399
T0011,T0016	C052	39.051	0.1486
T0016,T0021	C008	67.016	0.2639
T0025	C023	42.003	0.9232
T0016,T0026	C003	54.632	0.4286
T0004,T0025	C020	78.114	0.4178
T0017,T0022	C002	23.600	0.1612
T0002,T0011	C038	41.502	0.4408
T0001,T0020	C057	84.051	0.2462
T0007,T0029	C054	54.153	0.0100
T0001,T0009	C005	54.300	0.1106
T0003,T0026	C058	89.834	0.4652
T0025	C055	14.472	0.9500
T0001,T0020	C050	43.385	0.7073
T0022,T0025	C000	85.702	0.6269
T0016,T0021	C022	92.189	0.0682
T0018,T0029	C010	57.951	0.1858
T0012,T0022	C040	57.038	0.0595
T0011,T0024	C041	86.646	0.1835
T0008,T0010	C011	63.401	0.3950
T0005,T0027	C051	35.663	0.1061
T0011,T0016	C024	45.084	0.3062
T0006,T0009	C051	61.957	0.1128
T0001,T0025	C043	67.217	0.9035
T0007,T0016	C037	57.125	0.9029
T0012,T0027	C015	63.108	0.1411
T0002,T0027	C052	79.247	0.0100
T0010,T0028	C039	72.818	0.1520
T0006,T0026	C021	59.109	0.3155
T0004,T0013	C010	57.957	0.1387
T0003,T0018	C047	51.264	0.8047
T0019,T0022	C042	40.549	0.1312
T0005,T0017	C026	51.746	0.3205
T0015,T0025	C019	29.939	0.0650
T0010,T0029	C001	70.361	0.0769
T0008,T0011	C026	70.658	0.4292
T0022,T0027	C054	99.695	0.4730
T0009,T0029	C036	66.948	0.0903
T0000,T0021	C027	61.920	0.0578
T0005,T0026	C019	65.290	0.4370
T0011,T0027	C015	51.201	0.7888
T0002,T0016	C020	56.194	0.0541
T0009,T0018	C023	87.560	0.6310
T0005,T0025	C030	84.147	0.2341
T0019,T0024	C000	91.272	0.1759
T0019,T0020	C022	86.865	0.2049
T0016,T0020	C043	74.970	0.2230
T0019,T0021	C017	75.510	0.7533
T0003,T0017	C006	46.132	0.4952
T0024	C052	47.364	0.6759
T0007,T0009	C027	97.911	0.0794
T0003,T0010	C006	78.532	0.1752
T0006,T0029	C024	100.000	0.4446
T0004,T0006	C011	69.432	0.0346
T0004,T0013	C056	70.945	0.8253
T0018,T0022	C045	59.479	0.0625
T0004,T0026	C016	68.726	0.6752
T0013,T0025	C040	70.374	0.2080
T0006,T0026	C001	50.817	0.7189
T0000,T0003	C054	26.153	0.1633
T0004,T0015	C012	66.010	0.2681
T0000,T0015	C036	61.069	0.1148
T0013,T0020	C048	23.465	0.1375
T0010,T0026	C052	92.994	0.1692
T0007,T0015	C038	87.182	0.2861
T0020,T0023	C029	47.454	0.1781
T0020,T0022	C009	92.610	0.4042
T0021,T0024	C011	53.174	0.1418
T0004,T0011	C034	43.530	0.8228
T0013,T0024	C023	86.170	0.3759
T0000,T0002	C010	100.000	0.4256
T0013,T0020	C034	74.548	0.1382
T0011,T0023	C022	54.605	0.8481
T0019,T0026	C041	100.000	0.0783
T0024,T0026	C034	82.501	0.0100
T0021,T0029	C053	51.706	0.1881
T0004,T0024	C057	80.711	0.2734
T0010,T0025	C048	87.733	0.0905
T0005,T0011	C037	68.583	0.0924
T0007,T0008	C019	50.597	0.3080
T0001,T0029	C011	100.000	0.5687
T0001,T0011	C032	96.174	0.7463
T0009	C056	10.719	0.5227
T0000,T0017	C055	51.900	0.4610
T0014	C008	20.282	0.9382
T0006,T0027	C058	67.984	0.3479
T0009,T0014	C024	44.061	0.1975
T0023,T0029	C051	48.315	0.5282
T0003,T0027	C005	89.013	0.1089
T0000,T0002	C004	54.638	0.0474
T0012,T0019	C027	42.478	0.2811
T0010,T0026	C024	67.380	0.0473
T0001,T0020	C058	67.591	0.2330
T0011,T0019	C048	26.667	0.3237
T0010,T0020	C059	44.447	0.2556
T0014,T0019	C037	69.153	0.1482
T0016,T0029	C043	59.893	0.6969
T0007,T0015	C005	58.557	0.0811
T0019,T0024	C041	66.618	0.2732
T0006,T0014	C016	53.654	0.1122
T0014,T0028	C036	42.819	0.0583
T0001,T0021	C046	83.193	0.0100
T0004,T0025	C004	84.300	0.2054
T0010,T0023	C010	97.505	0.3324
T0004,T0014	C052	43.464	0.2032
T0000,T0020	C002	37.754	0.2974
T0003,T0017	C022	65.369	0.4914
T0013,T0014	C034	45.871	0.0981
T0019,T0022	C041	86.733	0.3352
T0003,T0027	C059	57.198	0.4513
T0001,T0016	C051	43.837	0.4408
T0012,T0023	C053	66.933	0.0579
T0010,T0027	C005	94.099	0.2451
T0007,T0019	C044	59.628	0.0178
T0010,T0022	C042	75.974	0.4816
T0006	C049	17.693	0.9433
T0021,T0029	C037	57.387	0.2715
T0004,T0029	C012	66.863	0.4213
T0011,T0021	C041	67.721	0.5783
T0020	C001	26.169	0.9500
T0002,T0009	C017	46.742	0.0128
T0016,T0017	C011	75.646	0.5641
T0006,T0022	C051	26.705	0.5407
T0011,T0024	C022	80.526	0.4208
T0018,T0028	C055	84.321	0.1324
T0010,T0013	C035	70.228	0.7188
T0001,T0020	C056	57.066	0.0765
T0015,T0017	C031	67.620	0.5131
T0005,T0029	C058	94.575	0.2433
T0024,T0026	C037	91.273	0.4055
T0027,T0028	C001	80.832	0.3594
T0000,T0021	C021	45.939	0.2920
T0019,T0026	C017	24.489	0.2899
T0003	C045	25.161	0.9113
T0000,T0007	C042	39.246	0.3391
T0001,T0028	C016	63.184	0.5985
T0006,T0011	C050	54.774	0.1808
T0000,T0003	C046	67.953	0.2069
T0023,T0025	C032	86.560	0.1523
T0005,T0022	C004	57.685	0.0736
T0014,T0026	C029	47.407	0.4738
T0014,T0015	C014	94.823	0.4914
T0001,T0009	C047	100.000	0.4190
T0010,T0027	C007	62.394	0.1165
T0012,T0013	C059	50.934	0.3218
T0021	C003	43.662	0.7895
T0016,T0020	C004	49.096	0.0434
T0006,T0014	C037	48.552	0.1579
T0020	C010	45.680	0.9500
T0004,T0024	C010	75.625	0.3007
T0005,T0028	C048	39.276	0.2485
T0013,T0023	C000	67.903	0.2152
T0005,T0026	C000	74.913	0.2821
T0009,T0018	C000	87.647	0.3973
T0014,T0024	C036	67.298	0.0907
T0019,T0028	C019	98.468	0.4472
T0025,T0029	C024	77.236	0.2500
T0002,T0020	C013	51.045	0.3325
T0015,T0029	C040	45.198	0.0837
T0009,T0016	C049	54.397	0.2953
T0005,T0018	C035	47.227	0.2659
T0013,T0015	C004	86.121	0.7736
T0011,T0021	C017	44.486	0.6377
T0009,T0018	C054	53.276	0.2452
T0013,T0023	C021	29.378	0.1288
T0007,T0021	C041	62.108	0.0151
T0018	C015	48.338	0.1992
T0009,T0020	C050	69.780	0.1595
T0025,T0027	C054	79.621	0.7315
T0005,T0027	C056	24.226	0.0755
T0000,T0025	C041	67.999	0.7485
T0002,T0022	C012	45.719	0.0962
T0019,T0029	C002	42.169	0.4218
T0006,T0014	C051	83.975	0.6322
T0012,T0028	C040	42.457	0.4188
T0000,T0029	C007	20.325	0.0576
T0010	C016	46.102	0.4262
T0008,T0014	C029	66.228	0.3020
