task_id_list	courier_id	total_score	willingness
T0013,T0021	C007	80.213	0.5384
T0009,T0032	C031	73.426	0.0825
T0016,T0031	C031	28.704	0.1714
T0014,T0025	C032	58.480	0.5923
T0023,T0037	C008	60.576	0.0608
T0030,T0038	C020	99.393	0.3017
T0034,T0038	C001	28.202	0.3428
T0000,T0037	C019	66.524	0.6361
T0003,T0013	C011	78.565	0.3433
T0021,T0029	C019	83.104	0.4735
T0008,T0034	C033	100.000	0.4017
T0008,T0026	C021	24.926	0.0485
T0013,T0030	C030	30.893	0.2825
T0028,T0037	C024	82.843	0.4491
T0021,T0029	C009	32.292	0.2351
T0004,T0035	C020	51.195	0.8993
T0008,T0029	C008	56.241	0.2440
T0037	C012	29.073	0.1821
T0025,T0037	C032	47.707	0.1750
T0018,T0037	C022	82.285	0.4920
T0007,T0036	C007	64.311	0.5659
T0000,T0001	C019	61.520	0.7154
T0006,T0029	C025	97.987	0.2852
T0000,T0029	C014	52.289	0.0131
T0002,T0013	C008	51.014	0.2067
T0004,T0013	C002	79.605	0.2124
T0009,T0022	C009	56.868	0.5379
T0031,T0035	C006	35.419	0.2711
T0000,T0020	C009	84.696	0.2265
T0016,T0024	C001	67.508	0.8968
T0037,T0039	C018	72.016	0.1862
T0013,T0031	C018	88.393	0.4897
T0005,T0039	C010	86.889	0.5465
T0030,T0035	C018	35.216	0.6192
T0016,T0021	C002	80.952	0.1087
T0017,T0019	C011	35.194	0.1540
T0014,T0033	C013	95.501	0.1350
T0000,T0007	C026	56.939	0.6626
T0035,T0038	C021	39.242	0.1497
T0013,T0022	C012	35.808	0.0930
T0026,T0039	C015	52.448	0.1695
T0006,T0019	C017	61.873	0.3382
T0007,T0036	C019	65.224	0.3913
T0007,T0028	C026	94.053	0.3547
T0001,T0026	C032	96.572	0.3770
T0001,T0030	C004	97.704	0.2141
T0004,T0034	C016	54.878	0.1922
T0015,T0031	C019	72.848	0.2550
T0006,T0013	C028	39.305	0.2755
T0010,T0026	C016	58.379	0.3714
T0006,T0023	C001	56.042	0.1407
T0017,T0032	C014	90.093	0.1826
T0003,T0019	C023	52.608	0.1301
T0003,T0008	C027	62.965	0.2379
T0011	C022	10.000	0.7031
T0022,T0031	C021	65.552	0.1075
T0027,T0028	C019	100.000	0.4962
T0016,T0023	C007	59.357	0.2401
