task_id_list	courier_id	total_score	willingness
T0006,T0011	C001	72.224	0.1660
T0000,T0006	C007	64.549	0.2397
T0005,T0014	C024	75.853	0.5309
T0005,T0013	C024	52.505	0.5580
T0006,T0008	C018	81.005	0.3920
T0007,T0010	C004	18.247	0.3033
T0006,T0007	C024	62.123	0.3291
T0009,T0011	C027	57.636	0.1702
T0000,T0009	C003	56.281	0.9403
T0002,T0013	C009	100.000	0.0100
T0000,T0010	C018	58.854	0.6661
T0005,T0012	C003	60.306	0.2647
T0003,T0013	C026	70.691	0.9383
T0013	C020	31.303	0.6530
T0005,T0010	C026	60.743	0.1885
T0007,T0008	C029	77.538	0.5006
T0003,T0009	C017	78.407	0.3657
T0012,T0013	C010	81.186	0.2227
T0003,T0014	C008	47.625	0.4552
T0003,T0004	C004	50.317	0.3251
T0002,T0006	C020	51.089	0.2975
T0006	C002	16.679	0.6579
T0004,T0006	C012	96.902	0.1895
T0008,T0010	C017	59.747	0.3072
T0006,T0009	C019	71.664	0.5526
T0012,T0014	C007	58.460	0.0700
T0001,T0003	C015	54.063	0.4707
T0011	C011	43.799	0.6967
T0004,T0011	C010	23.238	0.6583
T0011	C005	37.200	0.5281
T0002,T0012	C024	72.840	0.3903
T0003,T0004	C014	100.000	0.3860
T0001,T0008	C005	29.267	0.1283
T0002,T0005	C013	100.000	0.8256
T0005,T0006	C015	45.782	0.2476
T0001,T0005	C007	78.092	0.0104
T0006	C023	27.811	0.9500
T0006,T0013	C010	54.811	0.1212
T0002,T0013	C007	32.949	0.1210
T0010	C017	27.895	0.5520
T0002	C023	20.596	0.4707
T0005,T0011	C007	74.632	0.3731
T0007,T0010	C005	73.398	0.2894
T0004,T0005	C005	60.757	0.2929
T0005,T0009	C024	40.663	0.3978
T0002,T0007	C011	79.533	0.2836
T0001,T0004	C011	77.858	0.3438
T0008,T0009	C004	90.786	0.5590
T0003,T0008	C022	52.517	0.2375
T0006,T0014	C018	99.080	0.1287
T0010	C021	23.221	0.9500
T0010,T0012	C014	76.136	0.1477
T0006,T0012	C001	35.809	0.0460
T0004,T0005	C017	76.620	0.1475
T0001,T0010	C011	60.672	0.4390
T0001,T0007	C001	76.857	0.8662
T0004,T0011	C025	55.370	0.1488
T0003	C006	46.320	0.5250
T0004,T0009	C023	86.204	0.3678
T0006	C001	23.914	0.8155
T0005,T0009	C028	63.749	0.7705
T0011,T0012	C020	38.393	0.2095
T0002,T0011	C001	30.806	0.1636
T0006,T0011	C004	90.500	0.4661
T0011,T0014	C006	61.473	0.5719
T0002,T0011	C027	46.528	0.7569
T0004,T0014	C015	55.703	0.5422
T0003,T0012	C010	74.054	0.8856
T0010,T0013	C000	86.579	0.1172
T0001,T0003	C023	85.009	0.1200
T0002,T0005	C001	62.592	0.2258
T0006,T0014	C007	47.625	0.1524
T0006,T0008	C020	57.865	0.2851
T0003,T0012	C020	62.038	0.0182
T0005	C021	17.927	0.8909
T0013,T0014	C008	33.604	0.2815
T0001,T0013	C007	62.248	0.4526
T0000,T0012	C012	32.981	0.1026
T0005,T0014	C023	66.039	0.1172
T0005,T0008	C002	31.356	0.7117
T0002,T0008	C008	58.500	0.6815
T0001,T0011	C007	73.132	0.4457
T0000,T0006	C013	89.302	0.5297
