task_id_list	courier_id	total_score	willingness
T0004,T0005	C009	62.602	0.2533
T0000,T0005	C008	23.213	0.1638
T0000,T0004	C005	29.605	0.1351
T0003	C010	10.000	0.9500
T0002,T0003	C008	62.676	0.5826
T0001,T0002	C006	47.532	0.3431
T0000	C006	18.749	0.4305
T0000,T0004	C008	83.759	0.2239
T0000,T0002	C006	46.597	0.6144
T0003,T0004	C008	46.010	0.5590
T0003,T0005	C008	39.181	0.2430
T0002,T0003	C001	70.242	0.3455
T0001,T0004	C008	53.490	0.7022
T0003,T0004	C001	39.984	0.2929
T0001	C006	34.779	0.9500
T0000	C001	46.314	0.9500
T0000,T0005	C000	70.479	0.3099
T0003	C002	12.915	0.3797
T0001,T0005	C007	63.971	0.9008
T0002,T0003	C011	56.818	0.7638
T0001,T0004	C010	52.558	0.3822
T0000	C005	20.868	0.3961
T0005	C009	17.556	0.7277
T0000,T0002	C010	55.670	0.2831
T0000,T0001	C007	79.947	0.9476
T0001,T0002	C008	57.828	0.4026
T0001,T0004	C011	76.570	0.3717
T0001,T0003	C002	42.655	0.0671
T0000,T0005	C007	48.799	0.3538
T0001,T0002	C001	57.490	0.1086
T0003,T0005	C009	70.018	0.5393
T0000,T0002	C000	48.461	0.9500
T0000,T0005	C003	74.661	0.1352
T0000,T0003	C006	65.171	0.1798
T0002,T0005	C005	47.491	0.4899
T0000,T0001	C004	52.736	0.2100
T0001,T0002	C005	61.672	0.2258
T0003,T0004	C000	63.100	0.1488
T0000,T0002	C003	56.201	0.7281
T0001,T0003	C011	40.521	0.3956
T0002,T0004	C000	55.848	0.2884
T0000,T0004	C007	42.773	0.2150
T0001,T0004	C009	27.694	0.4444
T0000,T0003	C002	43.854	0.2256
T0002,T0003	C006	53.181	0.5383
T0002,T0005	C001	60.184	0.6431
T0002,T0003	C002	38.828	0.7931
T0003	C011	29.117	0.3006
T0000,T0002	C001	53.867	0.8356
T0003,T0005	C011	89.827	0.3562
T0000,T0002	C009	72.180	0.9428
T0000,T0001	C003	88.826	0.0206
T0002,T0003	C007	47.671	0.0789
T0002,T0004	C010	49.116	0.2298
T0001,T0004	C003	23.739	0.2402
T0002	C007	45.994	0.5467
T0001	C003	19.307	0.3086
T0002,T0004	C011	53.961	0.2126
T0004	C007	29.498	0.9500
T0000,T0001	C000	63.132	0.7004
T0003,T0004	C005	73.473	0.1804
T0000	C011	23.574	0.5539
T0000,T0004	C003	88.436	0.1099
T0001,T0002	C003	37.372	0.2233
T0002	C011	17.961	0.9500
T0005	C010	20.909	0.8517
T0000,T0004	C011	43.315	0.1303
T0003	C000	20.507	0.6562
T0001,T0005	C011	79.316	0.9500
T0003	C001	15.652	0.4983
T0001,T0005	C004	40.352	0.1495
T0001,T0003	C008	39.190	0.5900
T0001,T0002	C011	63.298	0.1596
T0002,T0005	C008	54.595	0.1481
T0002,T0003	C010	31.593	0.0765
T0000,T0001	C008	34.406	0.2069
T0002,T0005	C006	54.682	0.9301
T0001,T0002	C002	45.476	0.1190
T0000	C007	32.287	0.5148
T0002,T0003	C005	58.713	0.3794
T0000,T0003	C001	39.827	0.9500
T0003,T0004	C007	44.780	0.3146
T0005	C004	22.816	0.1164
T0001	C011	24.185	0.9500
T0004	C008	10.000	0.5408
T0002,T0005	C011	52.167	0.0100
T0000,T0002	C011	34.479	0.4623
T0002,T0004	C003	45.797	0.3630
T0000,T0001	C001	59.212	0.7008
T0000,T0001	C002	37.399	0.0726
T0000,T0002	C005	53.722	0.2216
T0000,T0005	C005	83.433	0.3785
T0002	C004	12.427	0.3605
T0001,T0003	C001	95.715	0.5131
T0003,T0005	C005	60.041	0.0356
T0001	C000	45.761	0.4618
T0000,T0005	C010	58.741	0.9282
T0003,T0005	C007	65.552	0.3756
T0002,T0005	C000	22.982	0.4932
T0004,T0005	C011	39.608	0.3955
T0002,T0003	C003	55.056	0.4128
T0001	C009	29.442	0.9500
T0004	C010	10.256	0.3396
T0001,T0005	C010	45.419	0.3540
T0000,T0002	C002	51.302	0.4758
T0005	C005	39.627	0.8572
T0003	C003	19.504	0.6344
T0004	C002	14.918	0.9500
T0000,T0003	C004	72.051	0.6264
T0004,T0005	C001	50.144	0.6592
T0000,T0001	C011	75.808	0.2128
T0000	C000	41.065	0.4507
T0001,T0003	C006	42.195	0.9172
T0001,T0003	C007	70.794	0.1771
T0002,T0004	C006	80.605	0.5962
T0000	C003	44.302	0.5833
T0001,T0005	C001	76.374	0.1887
T0000,T0002	C004	55.717	0.2515
T0004,T0005	C008	34.423	0.6866
T0002,T0004	C004	41.322	0.4713
