task_id_list	courier_id	total_score	willingness
T0000	C000	86.2627	0.5392
T0000	C003	74.2224	0.6258
T0000	C004	21.5404	0.6450
T0000	C005	59.0909	0.2367
T0000	C006	67.2785	0.6770
T0000	C007	52.9685	0.2076
T0000	C008	9.5278	0.6501
T0000	C009	47.4239	0.8437
T0000	C011	29.3212	0.8636
T0000	C012	55.1239	0.8683
T0000	C013	66.8305	0.7250
T0000	C014	5.0000	0.2633
T0000	C015	8.0047	0.4783
T0000	C016	52.8307	0.4721
T0000	C018	64.1986	0.3025
T0000	C019	73.4023	0.8093
T0000	C020	48.9351	0.5862
T0000	C023	29.7842	0.2185
T0000	C025	81.5087	0.6716
T0000	C028	61.7737	0.6176
T0000	C029	26.6778	0.2432
T0000	C030	40.7521	0.5567
T0000	C031	37.9585	0.8177
T0000	C032	50.4625	0.7289
T0000	C033	5.0000	0.8696
T0000	C034	67.0098	0.6155
T0000	C035	46.8639	0.3017
T0000	C036	37.8426	0.4832
T0000	C038	41.0892	0.7190
T0000	C039	28.1437	0.6495
T0000	C040	22.0358	0.4240
T0000	C042	5.0000	0.0805
T0000	C043	39.8371	0.6457
T0000	C045	46.9747	0.7653
T0000	C047	48.2367	0.7311
T0000	C048	24.9254	0.5227
T0000	C049	60.8667	0.5804
T0000	C050	46.6392	0.3123
T0000	C051	32.1434	0.7557
T0000	C052	5.0000	0.2844
T0000	C054	68.8430	0.1515
T0000	C055	66.1684	0.8091
T0000	C057	87.1563	0.5216
T0000	C059	8.4267	0.7701
T0000	C062	78.2525	0.6187
T0000	C063	56.2450	0.4967
T0000	C064	54.0836	0.4630
T0000	C065	11.7327	0.1861
T0000	C066	22.5643	0.0882
T0000	C068	48.6313	0.5686
T0000	C069	20.9697	0.4628
T0001	C000	60.4750	0.4876
T0001	C002	56.6613	0.2038
T0001	C003	81.0053	0.0500
T0001	C004	59.7062	0.2181
T0001	C005	49.5228	0.4705
T0001	C007	79.7660	0.8023
T0001	C008	37.0910	0.6538
T0001	C012	56.3930	0.1329
T0001	C015	51.5614	0.1572
T0001	C017	70.5315	0.1554
T0001	C019	5.0000	0.7603
T0001	C020	64.6399	0.3226
T0001	C023	71.3193	0.1227
T0001	C025	30.1483	0.6454
T0001	C026	37.3841	0.0764
T0001	C027	5.0000	0.3963
T0001	C028	67.7018	0.9007
T0001	C029	23.5224	0.1370
T0001	C030	31.3881	0.7991
T0001	C034	55.9019	0.2182
T0001	C035	40.8587	0.7551
T0001	C036	5.0000	0.7059
T0001	C038	5.0000	0.4107
T0001	C040	58.9036	0.6944
T0001	C041	20.1604	0.8056
T0001	C043	70.3629	0.3932
T0001	C051	88.3906	0.9155
T0001	C052	85.1753	0.1789
T0001	C053	78.2901	0.6265
T0001	C054	90.7952	0.3473
T0001	C058	23.7392	0.4719
T0001	C059	35.0207	0.6777
T0001	C060	23.0472	0.5659
T0001	C061	44.4534	0.3341
T0001	C062	50.8414	0.2403
T0001	C063	75.5961	0.3457
T0001	C065	81.3473	0.7956
T0001	C066	54.8494	0.6289
T0001	C067	38.8851	0.0540
T0001	C069	47.7394	0.2332
T0002	C000	68.6592	0.5488
T0002	C001	36.0805	0.3572
T0002	C002	92.3677	0.8326
T0002	C003	54.8080	0.6254
T0002	C005	17.2191	0.1293
T0002	C006	32.5898	0.8668
T0002	C008	5.0000	0.9017
T0002	C009	77.5426	0.1883
T0002	C010	53.8665	0.7111
T0002	C011	58.1569	0.9096
T0002	C015	49.8533	0.2625
T0002	C017	41.5662	0.4523
T0002	C019	81.5526	0.8417
T0002	C020	54.1756	0.1153
T0002	C021	22.3218	0.1931
T0002	C023	34.5970	0.3352
T0002	C024	49.2457	0.8759
T0002	C025	5.0000	0.0906
T0002	C027	34.4812	0.4188
T0002	C028	36.5151	0.4792
T0002	C029	20.0400	0.2239
T0002	C030	22.8611	0.4934
T0002	C031	67.2692	0.5542
T0002	C032	44.7625	0.0813
T0002	C033	38.4569	0.1030
T0002	C035	27.6313	0.7655
T0002	C038	65.5109	0.2786
T0002	C039	13.8349	0.5492
T0002	C040	46.0406	0.4241
T0002	C041	5.0000	0.6265
T0002	C042	63.0472	0.2865
T0002	C045	28.9312	0.8697
T0002	C047	64.0365	0.3960
T0002	C049	33.6894	0.6069
T0002	C050	33.6528	0.5183
T0002	C053	60.4311	0.1462
T0002	C054	63.6547	0.1982
T0002	C055	20.5815	0.1573
T0002	C056	18.0613	0.6499
T0002	C059	57.8346	0.3519
T0002	C061	21.5150	0.6289
T0002	C062	5.0000	0.4224
T0002	C063	57.4402	0.3144
T0002	C064	78.9260	0.7953
T0002	C065	34.7958	0.4199
T0002	C066	24.5193	0.4331
T0002	C068	34.9370	0.6120
T0003	C000	107.7590	0.2505
T0003	C003	53.7827	0.4729
T0003	C005	61.8655	0.6458
T0003	C006	29.8543	0.1457
T0003	C007	54.4180	0.7443
T0003	C009	29.7312	0.4490
T0003	C010	105.8600	0.1715
T0003	C011	64.3973	0.7028
T0003	C014	26.9524	0.6862
T0003	C015	55.2924	0.7392
T0003	C016	71.4780	0.2132
T0003	C017	59.6121	0.5760
T0003	C019	64.0234	0.1166
T0003	C020	54.7781	0.4461
T0003	C021	14.6085	0.4797
T0003	C022	37.8515	0.3492
T0003	C023	47.0752	0.4958
T0003	C025	65.9687	0.1358
T0003	C028	9.8383	0.5617
T0003	C029	42.7862	0.4602
T0003	C030	5.0000	0.7182
T0003	C031	21.9681	0.1402
T0003	C032	58.6619	0.5106
T0003	C033	5.0000	0.9096
T0003	C034	67.4475	0.5583
T0003	C036	41.8327	0.2272
T0003	C037	12.8348	0.0586
T0003	C038	42.1554	0.3746
T0003	C039	59.8002	0.2810
T0003	C040	49.7528	0.5041
T0003	C041	56.2774	0.2344
T0003	C043	86.7329	0.1996
T0003	C045	44.9220	0.2415
T0003	C046	58.5292	0.3584
T0003	C047	32.0314	0.4339
T0003	C048	67.1495	0.1401
T0003	C050	71.1338	0.7571
T0003	C051	11.9723	0.5248
T0003	C052	33.5935	0.1145
T0003	C053	105.1264	0.1638
T0003	C054	30.8622	0.5663
T0003	C055	71.0083	0.2946
T0003	C056	19.1512	0.3424
T0003	C058	27.8550	0.3147
T0003	C059	12.9778	0.8990
T0003	C060	54.7346	0.3825
T0003	C062	69.0987	0.8019
T0003	C063	36.3493	0.3278
T0003	C064	86.9101	0.2537
T0003	C065	83.0088	0.5053
