task_id_list	courier_id	total_score	willingness
T0000	C000	31.8630	0.0348
T0000	C002	55.1167	0.2590
T0000	C003	47.6638	0.1279
T0000	C004	50.6118	0.1496
T0000	C005	55.6552	0.0476
T0000	C006	43.8400	0.0490
T0000	C007	33.3980	0.0915
T0000	C008	43.2289	0.2222
T0000	C009	58.6115	0.1191
T0000	C010	61.2393	0.1891
T0000	C011	57.2391	0.1255
T0000	C012	55.0356	0.1310
T0000	C014	31.5738	0.0755
T0000	C015	48.0108	0.1225
T0000	C016	48.8108	0.1132
T0000	C020	45.6897	0.1978
T0000	C021	54.6518	0.0950
T0000	C022	57.3709	0.1024
T0000	C023	34.6509	0.0941
T0000	C024	41.0284	0.0484
T0000	C026	42.0747	0.0512
T0000	C029	26.9298	0.0336
T0000	C030	62.0809	0.1649
T0000	C031	45.2877	0.0831
T0000	C032	56.4078	0.0933
T0000	C033	45.4119	0.1623
T0000	C034	34.0507	0.0980
T0000	C035	47.2272	0.0302
T0000	C036	37.8794	0.1898
T0000	C037	34.1575	0.0419
T0000	C038	38.8331	0.0787
T0000	C039	55.7086	0.1789
T0000	C043	59.6795	0.1391
T0000	C044	47.3356	0.0967
T0000	C046	47.8858	0.1451
T0000	C047	55.5233	0.0412
T0000	C048	54.6846	0.1011
T0000	C049	55.9537	0.3080
T0000	C050	45.3009	0.2256
T0000	C051	50.2347	0.0995
T0000	C052	57.4589	0.1087
T0000	C053	30.5566	0.0785
T0000	C054	50.4080	0.0335
T0001	C000	48.5016	0.0639
T0001	C001	48.1339	0.0529
T0001	C002	56.7066	0.1576
T0001	C003	47.8981	0.0731
T0001	C004	62.7276	0.1607
T0001	C005	46.3778	0.0581
T0001	C006	49.9293	0.0215
T0001	C007	47.8429	0.0921
T0001	C008	53.7968	0.1007
T0001	C009	64.6248	0.3500
T0001	C012	54.5543	0.2433
T0001	C014	51.6033	0.2314
T0001	C015	49.2062	0.1790
T0001	C017	52.7355	0.0857
T0001	C018	51.2811	0.0452
T0001	C019	52.9927	0.2258
T0001	C020	44.4626	0.1107
T0001	C021	49.7777	0.0196
T0001	C022	41.8643	0.0475
T0001	C023	34.6412	0.0223
T0001	C024	43.3311	0.2398
T0001	C025	35.9630	0.1047
T0001	C026	39.3577	0.0410
T0001	C027	53.5247	0.1171
T0001	C028	31.9828	0.0690
T0001	C030	40.1698	0.1081
T0001	C031	57.8246	0.3231
T0001	C032	51.3953	0.1333
T0001	C033	36.6679	0.0172
T0001	C034	41.9005	0.1483
T0001	C035	38.1365	0.0438
T0001	C037	34.7325	0.0518
T0001	C039	71.9738	0.2777
T0001	C040	27.4205	0.0249
T0001	C041	64.5622	0.1866
T0001	C043	33.7701	0.0473
T0001	C044	45.2502	0.0899
T0001	C045	33.6911	0.0752
T0001	C046	43.7652	0.1198
