task_id_list	courier_id	total_score	willingness
T0000	C000	47.1949	0.2147
T0000	C002	33.5231	0.1984
T0000	C003	51.2523	0.3525
T0000	C004	45.7825	0.3490
T0000	C005	48.1443	0.6429
T0000	C007	21.3164	0.3508
T0000	C010	28.2857	0.3069
T0000	C011	30.9397	0.4735
T0000	C012	29.6749	0.7507
T0000	C013	63.6298	0.2610
T0000	C014	31.9151	0.3112
T0000	C017	21.7714	0.5249
T0000	C018	39.3987	0.2031
T0000	C020	37.1296	0.4513
T0000	C021	27.5907	0.3743
T0000	C022	27.7460	0.2950
T0000	C023	25.6718	0.4541
T0000	C024	28.2285	0.2994
T0000	C025	44.8283	0.1773
T0000	C026	26.4326	0.4460
T0000	C027	50.1583	0.2837
T0000	C028	34.9404	0.4969
T0000	C029	28.2213	0.5650
T0000	C030	44.0884	0.3568
T0000	C031	38.2444	0.2412
T0000	C032	46.0196	0.3955
T0000	C034	40.7260	0.2202
T0000	C036	58.2374	0.6167
T0000	C037	19.8848	0.1232
T0000	C038	49.8141	0.1825
T0000	C039	32.5949	0.2566
T0000	C042	32.7008	0.5264
T0000	C044	51.8628	0.5791
T0000	C046	30.4641	0.3201
T0000	C047	27.4655	0.0656
T0000	C048	33.5591	0.3292
T0000	C049	41.5019	0.2136
T0000	C050	44.9033	0.2575
T0000	C053	38.6461	0.2703
T0000	C054	37.6504	0.2254
T0000	C055	33.6645	0.4879
T0000	C057	51.7963	0.5383
T0000	C058	59.8379	0.1094
T0001	C001	22.3640	0.0781
T0001	C002	47.1505	0.1254
T0001	C003	20.4565	0.3074
T0001	C004	43.1055	0.1473
T0001	C005	27.1837	0.1336
T0001	C006	38.7693	0.2885
T0001	C007	42.7204	0.5744
T0001	C008	31.5867	0.2107
T0001	C009	22.5774	0.3573
T0001	C010	38.3330	0.3102
T0001	C011	57.5497	0.0517
T0001	C012	41.0912	0.0932
T0001	C014	45.1076	0.2588
T0001	C015	52.6549	0.6842
T0001	C016	41.7353	0.3596
T0001	C017	59.3584	0.5260
T0001	C019	61.4514	0.2811
T0001	C020	46.2423	0.0878
T0001	C021	44.1487	0.1993
T0001	C022	27.2736	0.1429
T0001	C023	35.8742	0.3978
T0001	C025	39.0070	0.0734
T0001	C026	52.9580	0.4233
T0001	C027	52.7630	0.6242
T0001	C028	30.5284	0.1311
T0001	C029	31.6786	0.2665
T0001	C030	19.3705	0.3060
T0001	C031	35.2422	0.0911
T0001	C033	17.2954	0.2502
T0001	C035	43.2418	0.5150
T0001	C036	61.4983	0.3841
T0001	C037	30.2838	0.4768
T0001	C039	51.9342	0.3111
T0001	C040	34.3973	0.4522
T0001	C042	61.0308	0.3634
T0001	C045	35.3219	0.1788
T0001	C046	43.9030	0.5275
T0001	C048	40.3905	0.5254
T0001	C050	36.9168	0.5418
T0001	C052	27.9345	0.5008
T0001	C054	25.9715	0.1599
T0001	C056	31.1646	0.1577
T0001	C058	58.2693	0.2368
T0001	C059	32.2682	0.4819
T0002	C000	44.6291	0.2982
T0002	C001	30.2739	0.4377
T0002	C002	50.3163	0.3881
T0002	C003	51.5683	0.4724
T0002	C005	44.8093	0.2554
T0002	C006	24.4373	0.3956
T0002	C009	39.5885	0.2750
T0002	C010	28.0318	0.5888
T0002	C012	47.6227	0.0724
T0002	C013	34.0052	0.4669
T0002	C014	39.8417	0.4103
T0002	C015	54.1414	0.2242
T0002	C016	34.6284	0.5707
T0002	C018	36.1765	0.3478
T0002	C019	36.1637	0.2097
T0002	C020	37.9621	0.5036
T0002	C021	35.8896	0.2727
T0002	C022	51.2197	0.3858
T0002	C024	33.7084	0.0927
T0002	C025	30.1195	0.4790
T0002	C026	25.0683	0.5578
T0002	C027	35.3759	0.4969
T0002	C028	45.6589	0.3929
T0002	C029	34.2325	0.3836
T0002	C030	29.9639	0.6628
T0002	C031	42.3463	0.4694
T0002	C032	41.1816	0.6090
T0002	C033	48.7033	0.4936
T0002	C034	27.1562	0.3050
T0002	C035	38.8030	0.2636
T0002	C036	31.3728	0.3525
T0002	C037	46.4340	0.3765
T0002	C038	40.4154	0.1767
T0002	C040	53.6805	0.2421
T0002	C041	47.6926	0.5269
T0002	C042	28.7726	0.2110
T0002	C043	47.4066	0.4275
T0002	C044	39.6697	0.1683
T0002	C045	33.8914	0.5089
T0002	C046	34.4736	0.2173
T0002	C047	52.8243	0.1694
T0002	C048	48.7229	0.4828
T0002	C049	28.9761	0.0935
T0002	C051	41.9964	0.3717
T0002	C052	19.1893	0.1662
T0002	C053	38.0353	0.1395
T0002	C054	34.6516	0.1744
T0002	C055	31.3538	0.2484
T0002	C056	40.6049	0.1882
T0002	C057	39.4958	0.3487
T0002	C058	26.8291	0.4570
T0002	C059	39.3254	0.4924
T0003	C001	37.5757	0.4089
T0003	C003	36.0634	0.0845
T0003	C004	52.8845	0.3570
T0003	C005	55.4530	0.6003
T0003	C006	21.2293	0.2621
T0003	C007	27.0056	0.1714
T0003	C008	47.8818	0.5326
T0003	C009	37.5108	0.2651
T0003	C010	46.3496	0.3806
T0003	C011	38.7921	0.6432
T0003	C013	45.1138	0.2709
T0003	C015	28.0561	0.1096
T0003	C016	31.4434	0.3809
T0003	C017	23.6055	0.2167
T0003	C018	36.5338	0.6082
T0003	C019	17.0177	0.3494
T0003	C020	43.3292	0.2222
T0003	C021	41.7774	0.4050
T0003	C022	40.2928	0.2489
T0003	C024	23.9115	0.5292
T0003	C025	44.5428	0.0704
T0003	C027	18.9245	0.4899
T0003	C029	29.1120	0.2138
T0003	C030	49.1944	0.2970
T0003	C031	49.3287	0.6007
T0003	C033	46.7251	0.2779
T0003	C034	47.0861	0.1921
T0003	C037	47.9174	0.4833
