task_id_list	courier_id	total_score	willingness
T0000	C000	46.7534	0.2337
T0000	C001	35.8954	0.6496
T0000	C002	63.2531	0.7759
T0000	C003	33.3791	0.4417
T0000	C004	49.2315	0.1861
T0000	C005	40.5693	0.5903
T0000	C006	56.3086	0.3346
T0000	C007	44.5983	0.4753
T0000	C008	35.0505	0.5592
T0000	C009	46.3727	0.6721
T0000	C010	65.0208	0.5311
T0000	C011	44.7835	0.7594
T0000	C012	31.7933	0.4917
T0000	C013	40.1864	0.4491
T0000	C014	34.5025	0.0991
T0000	C015	31.7175	0.1666
T0000	C016	51.0796	0.2252
T0000	C020	41.1411	0.2587
T0000	C021	46.7656	0.5898
T0000	C022	27.5396	0.3352
T0000	C023	37.7377	0.3050
T0000	C024	46.8054	0.2465
T0000	C025	44.3084	0.3348
T0000	C026	28.3316	0.6436
T0000	C027	48.9320	0.5769
T0000	C028	46.5291	0.1654
T0000	C029	31.1246	0.2198
T0000	C030	25.6307	0.2627
T0000	C031	50.7407	0.2203
T0000	C032	44.3331	0.2483
T0000	C033	31.5145	0.2903
T0001	C000	51.6080	0.5723
T0001	C001	44.2253	0.3298
T0001	C002	61.8192	0.3964
T0001	C003	38.8273	0.3054
T0001	C004	49.4199	0.3588
T0001	C005	40.5394	0.2053
T0001	C006	22.3914	0.2581
T0001	C007	51.0244	0.6005
T0001	C008	28.7055	0.3855
T0001	C009	51.8353	0.4024
T0001	C010	46.0474	0.5357
T0001	C011	20.0429	0.5032
T0001	C012	44.7222	0.1924
T0001	C013	47.5296	0.4825
T0001	C014	21.4830	0.1943
T0001	C015	32.1306	0.4293
T0001	C016	49.4713	0.0791
T0001	C017	22.2284	0.3267
T0001	C018	41.1152	0.3166
T0001	C019	33.7269	0.2391
T0001	C020	41.4508	0.1672
T0001	C021	49.5937	0.1987
T0001	C022	38.2215	0.2242
T0001	C023	43.7564	0.4962
T0001	C024	38.6119	0.4186
T0001	C025	42.3649	0.3418
T0001	C026	57.7293	0.5177
T0001	C027	31.7393	0.2189
T0001	C028	51.5273	0.3733
T0001	C029	24.2169	0.2956
T0001	C031	33.5249	0.4022
T0001	C032	54.8499	0.2779
T0001	C033	30.6507	0.6396
T0002	C000	50.3711	0.7490
T0002	C001	56.1079	0.1910
T0002	C002	45.4287	0.3175
T0002	C003	39.9496	0.4883
T0002	C004	33.7195	0.2639
T0002	C005	40.3386	0.2353
T0002	C006	57.4507	0.4183
T0002	C007	35.3003	0.4992
T0002	C008	39.3907	0.7463
T0002	C009	33.6359	0.1921
T0002	C010	62.9783	0.4954
T0002	C011	52.3492	0.3830
T0002	C012	53.1173	0.4074
T0002	C013	57.3199	0.3799
T0002	C014	53.1173	0.1836
T0002	C015	57.6309	0.6171
T0002	C016	39.1912	0.2616
T0002	C017	32.8347	0.3198
T0002	C019	35.9291	0.1121
T0002	C020	41.3164	0.1326
T0002	C021	47.2444	0.4340
T0002	C022	41.8994	0.5038
T0002	C023	33.4827	0.1067
T0002	C024	32.2210	0.2156
T0002	C025	33.5640	0.5583
T0002	C026	51.4464	0.2498
T0002	C027	47.6367	0.5114
T0002	C029	49.4710	0.5898
T0002	C030	42.8547	0.3301
T0002	C031	55.4759	0.3827
T0002	C032	57.9360	0.6432
T0002	C033	49.3229	0.6325
T0003	C000	32.1957	0.4675
T0003	C001	49.2686	0.4112
T0003	C002	19.4399	0.3933
T0003	C003	38.7346	0.1456
T0003	C004	59.4771	0.2948
T0003	C005	26.0716	0.5405
T0003	C006	34.4940	0.4138
T0003	C007	37.1463	0.5689
T0003	C008	48.0765	0.2275
T0003	C009	33.4215	0.1652
T0003	C010	44.5961	0.7046
T0003	C011	27.7962	0.4492
T0003	C012	48.5160	0.1160
T0003	C013	43.6485	0.4167
T0003	C014	34.7171	0.2465
T0003	C015	43.4457	0.3602
T0003	C016	38.0169	0.3825
T0003	C017	42.0179	0.5975
T0003	C018	53.2696	0.1738
T0003	C019	44.0445	0.2913
T0003	C020	61.5302	0.5010
T0003	C021	23.5055	0.5534
T0003	C022	41.3484	0.3471
T0003	C023	44.8553	0.2757
T0003	C024	37.6210	0.3983
T0003	C025	56.2234	0.2091
T0003	C026	29.6191	0.2081
T0003	C027	47.5467	0.6539
T0003	C028	33.7888	0.3332
T0003	C029	54.8514	0.3433
T0003	C030	26.9904	0.1108
T0003	C031	36.0335	0.3922
T0003	C032	34.8670	0.1327
T0003	C033	37.3622	0.3524
T0004	C000	36.8312	0.4662
T0004	C001	45.9651	0.2778
T0004	C002	55.3474	0.2773
T0004	C003	36.2590	0.2617
T0004	C004	62.8761	0.2736
T0004	C005	32.0327	0.4859
T0004	C006	38.2198	0.6433
T0004	C007	42.9621	0.4018
