task_id_list	courier_id	total_score	willingness
T0000	C000	66.6624	0.5354
T0000	C001	34.4635	0.2344
T0000	C002	77.3725	0.5819
T0000	C004	45.5976	0.2858
T0000	C005	28.1208	0.2282
T0000	C007	69.1874	0.2226
T0000	C008	38.8928	0.5917
T0000	C010	52.6644	0.1256
T0000	C011	59.5656	0.6346
T0000	C013	39.5941	0.6951
T0000	C014	33.3305	0.7269
T0000	C015	58.3727	0.8269
T0000	C016	59.1622	0.5816
T0000	C018	48.7779	0.7002
T0000	C021	45.5843	0.6839
T0000	C022	45.7289	0.7830
T0000	C023	54.4990	0.7553
T0000	C024	64.8441	0.4579
T0000	C025	54.8721	0.6658
T0000	C027	52.4207	0.7630
T0000	C028	53.7259	0.3882
T0000	C029	60.3288	0.7474
T0000	C030	62.5717	0.6207
T0000	C031	36.2546	0.5302
T0000	C032	39.5075	0.6150
T0000	C033	41.9457	0.3945
T0000	C034	61.5673	0.5618
T0000	C035	31.5274	0.1780
T0000	C036	67.1273	0.6107
T0000	C037	47.5679	0.8286
T0000	C041	42.3804	0.3559
T0000	C042	68.0213	0.8017
T0000	C043	35.1591	0.5756
T0000	C044	45.7731	0.3757
T0000	C046	43.6062	0.5757
T0000	C048	55.3114	0.5954
T0000	C049	57.2857	0.5098
T0001	C001	30.3678	0.4576
T0001	C003	36.9435	0.6687
T0001	C005	46.0851	0.4731
T0001	C007	40.3917	0.3205
T0001	C008	62.1279	0.6306
T0001	C009	61.9205	0.4248
T0001	C010	53.4397	0.7068
T0001	C011	61.7649	0.8370
T0001	C012	41.2625	0.2583
T0001	C014	39.8694	0.2161
T0001	C015	67.2026	0.5512
T0001	C016	54.2672	0.4207
T0001	C017	57.7358	0.5286
T0001	C018	34.4829	0.7100
T0001	C019	51.5095	0.5010
T0001	C020	33.3793	0.3882
T0001	C021	43.2893	0.2882
T0001	C022	70.8269	0.2126
T0001	C024	48.1307	0.4875
T0001	C025	45.5933	0.5158
T0001	C026	53.7272	0.4614
T0001	C027	62.3448	0.6441
T0001	C028	70.6681	0.7603
T0001	C029	38.3649	0.2848
T0001	C030	67.2083	0.7173
T0001	C031	57.6500	0.4913
T0001	C033	50.6321	0.3910
T0001	C035	58.3599	0.3254
