task_id_list	courier_id	total_score	willingness
T0000	C000	95.3087	0.1225
T0000	C001	80.4507	0.0392
T0000	C002	39.8191	0.3715
T0000	C003	5.0000	0.2139
T0000	C005	54.8185	0.5520
T0000	C006	105.0552	0.5407
T0000	C007	28.4923	0.2621
T0000	C011	60.1772	0.0362
T0000	C012	42.5500	0.6211
T0000	C013	62.5326	0.7851
T0000	C016	18.7268	0.6758
T0000	C017	5.0000	0.8554
T0000	C018	20.5201	0.3683
T0000	C021	80.6205	0.8664
T0000	C022	20.2620	0.1317
T0000	C026	5.0000	0.9060
T0000	C028	32.1049	0.8566
T0000	C029	86.2896	0.3259
T0000	C030	65.4341	0.5534
T0000	C031	79.4888	0.2214
T0000	C032	5.0000	0.7853
T0000	C033	6.9261	0.4119
T0000	C034	16.8559	0.1789
T0000	C036	48.4998	0.5125
T0000	C037	53.2200	0.1395
T0000	C038	56.6488	0.6104
T0000	C041	66.1154	0.2029
T0000	C042	41.9556	0.8594
T0000	C043	6.9385	0.6864
T0000	C044	100.3018	0.8532
T0000	C048	58.3713	0.9012
T0000	C049	77.6936	0.1241
T0000	C050	17.1740	0.1701
T0000	C051	30.7364	0.4698
T0000	C052	41.0200	0.1657
T0000	C053	82.6145	0.5593
T0000	C054	36.0905	0.2325
T0000	C055	7.4881	0.4965
T0000	C056	20.1316	0.3144
T0000	C057	88.8908	0.3721
T0000	C058	33.3572	0.1050
T0000	C059	33.2986	0.1054
T0000	C060	46.0379	0.8976
T0000	C061	64.8217	0.7914
T0000	C062	65.4082	0.8475
T0000	C063	23.9293	0.7958
T0000	C064	43.7807	0.8461
T0000	C065	12.1865	0.0846
T0000	C066	68.4539	0.4342
T0000	C067	58.4408	0.6648
T0000	C068	51.9002	0.1145
T0001	C000	43.3453	0.8166
T0001	C001	56.9877	0.5784
T0001	C002	74.0162	0.8570
T0001	C003	49.9894	0.9083
T0001	C005	35.7197	0.4035
T0001	C006	62.8925	0.0617
T0001	C007	23.1183	0.5481
T0001	C008	38.3053	0.4993
T0001	C009	8.2347	0.0300
T0001	C010	73.8219	0.3770
T0001	C012	22.5616	0.7240
T0001	C013	62.6394	0.2506
T0001	C014	30.5636	0.3779
T0001	C015	17.0788	0.0452
T0001	C016	29.2446	0.6102
T0001	C017	87.6055	0.2031
T0001	C019	49.4905	0.8702
T0001	C020	41.6124	0.6904
T0001	C023	51.9515	0.8605
T0001	C024	59.7496	0.6432
T0001	C025	44.9594	0.8179
T0001	C027	26.8886	0.7267
T0001	C028	72.5371	0.7802
T0001	C031	22.4144	0.1244
T0001	C032	49.4101	0.0624
T0001	C033	30.4646	0.5376
T0001	C035	60.3285	0.1530
T0001	C038	41.0177	0.1753
T0001	C040	55.8166	0.7277
T0001	C041	5.9886	0.3724
T0001	C045	55.3986	0.1971
T0001	C046	53.5413	0.9259
T0001	C047	37.3667	0.3385
T0001	C048	18.2233	0.1874
T0001	C050	34.2828	0.3931
T0001	C052	67.0172	0.7249
T0001	C053	53.8740	0.9140
T0001	C056	53.9428	0.4093
T0001	C057	25.2812	0.7809
T0001	C058	41.1517	0.2099
T0001	C059	19.8060	0.4805
T0001	C060	76.3013	0.2510
T0001	C061	102.3284	0.3140
T0001	C062	34.1531	0.8034
T0001	C063	43.6444	0.2827
T0001	C064	46.7488	0.3955
T0001	C065	72.1561	0.8980
T0001	C067	84.3701	0.6362
T0001	C068	88.3495	0.1395
T0001	C069	23.2331	0.1026
T0002	C001	5.0000	0.3404
T0002	C003	47.8627	0.6105
T0002	C004	18.4516	0.8759
T0002	C005	19.6610	0.2935
T0002	C007	41.4758	0.0578
T0002	C008	19.1110	0.8280
T0002	C009	11.7075	0.4378
T0002	C010	43.1132	0.8190
T0002	C011	76.5770	0.8049
T0002	C012	27.4186	0.1707
T0002	C013	53.9266	0.6668
T0002	C014	56.3308	0.6092
T0002	C015	23.5223	0.2574
T0002	C018	79.1674	0.2802
T0002	C019	25.7672	0.5959
T0002	C020	108.7224	0.0890
T0002	C021	14.4467	0.7053
T0002	C023	17.6743	0.8158
T0002	C024	5.0000	0.4799
T0002	C026	117.6404	0.5450
T0002	C027	61.0784	0.7592
T0002	C028	5.0000	0.7314
T0002	C029	5.0000	0.6344
T0002	C030	53.8747	0.5464
T0002	C031	52.3343	0.1813
T0002	C032	26.2869	0.4680
T0002	C033	44.0436	0.8706
T0002	C035	33.5490	0.2919
T0002	C036	77.2157	0.7243
