task_id_list	courier_id	total_score	willingness
T0000	C000	61.2502	0.1587
T0000	C001	27.3704	0.0216
T0000	C002	28.6462	0.0213
T0000	C003	94.7919	0.3475
T0000	C005	56.9511	0.0480
T0000	C007	39.9032	0.1458
T0000	C008	69.8973	0.1570
T0000	C009	43.5190	0.0820
T0000	C011	40.4567	0.0907
T0000	C012	57.1907	0.1562
T0000	C013	32.3854	0.0354
T0000	C016	67.3318	0.1487
T0000	C017	31.1643	0.1671
T0000	C018	72.9215	0.1189
T0000	C020	52.6003	0.0811
T0000	C021	61.3642	0.1382
T0000	C022	50.2397	0.0685
T0000	C023	40.8102	0.1589
T0000	C024	62.3705	0.2386
T0000	C025	42.3719	0.0451
T0000	C026	61.7217	0.0448
T0000	C027	55.6755	0.0315
T0000	C028	51.5425	0.1770
T0000	C029	34.2657	0.0350
T0000	C030	48.6276	0.0665
T0000	C031	30.8515	0.0254
T0000	C032	59.8301	0.2633
T0000	C035	37.3473	0.0796
T0000	C036	48.4193	0.0673
T0000	C037	43.4644	0.1198
T0000	C038	54.5369	0.0963
T0000	C039	65.4392	0.0691
T0000	C040	41.0566	0.0153
T0000	C041	39.2329	0.0186
T0000	C043	37.8675	0.1115
T0000	C045	43.5962	0.0178
T0000	C046	40.4486	0.1373
T0000	C047	49.0645	0.0748
T0000	C048	57.5513	0.1731
T0000	C049	61.3019	0.4429
T0000	C050	43.7325	0.2475
T0000	C051	41.2264	0.0618
T0000	C052	50.7991	0.0658
T0000	C053	54.7940	0.0388
T0000	C054	42.1731	0.0544
T0000	C055	49.6356	0.0375
T0000	C056	48.6060	0.0309
T0000	C057	38.5528	0.1539
T0000	C058	54.1308	0.1228
T0000	C059	44.1786	0.0769
T0000	C060	53.1606	0.0148
T0000	C061	60.5715	0.1681
T0001	C000	43.3177	0.0468
T0001	C001	61.7969	0.2145
T0001	C002	70.0166	0.2838
T0001	C003	54.5588	0.0386
T0001	C006	42.7159	0.1223
T0001	C007	32.7012	0.0103
T0001	C008	28.2456	0.0208
T0001	C009	55.2989	0.0678
T0001	C010	52.2782	0.0257
T0001	C013	55.4597	0.0798
T0001	C014	36.6026	0.0520
T0001	C016	71.5759	0.2293
T0001	C018	42.3053	0.0151
T0001	C019	49.1934	0.1347
T0001	C020	33.4677	0.0307
T0001	C023	58.3734	0.1166
T0001	C024	66.9814	0.1366
T0001	C025	49.5937	0.1063
T0001	C027	55.6838	0.1347
T0001	C028	33.2198	0.1383
T0001	C029	39.7092	0.0149
T0001	C030	62.4062	0.2294
T0001	C031	28.8639	0.0849
T0001	C032	41.0497	0.0522
T0001	C034	55.7538	0.0798
T0001	C035	31.9297	0.0433
T0001	C036	36.5909	0.1546
T0001	C037	61.1922	0.0205
T0001	C038	58.6471	0.0997
T0001	C039	51.8796	0.0159
T0001	C040	43.9460	0.1003
T0001	C041	49.3247	0.1295
T0001	C043	30.8233	0.0129
T0001	C045	56.6312	0.2033
T0001	C046	65.1918	0.2014
T0001	C047	76.8151	0.2698
T0001	C049	48.8201	0.0646
T0001	C051	59.8540	0.1948
T0001	C052	62.0256	0.0785
T0001	C055	63.3805	0.0162
T0001	C056	45.9027	0.0361
T0001	C057	44.1840	0.0750
T0001	C058	52.4402	0.1075
T0001	C059	49.7245	0.0818
T0001	C060	66.2891	0.0579
T0001	C061	44.9672	0.1763
T0002	C000	51.2240	0.0155
T0002	C002	48.9253	0.0513
T0002	C003	53.6162	0.1026
T0002	C005	36.9598	0.1969
T0002	C006	42.8053	0.0395
T0002	C008	32.2221	0.0765
T0002	C009	53.0644	0.0808
T0002	C010	68.2572	0.2631
T0002	C012	73.4211	0.2002
T0002	C013	47.5998	0.1687
T0002	C014	59.9760	0.1740
T0002	C015	38.9687	0.0726
T0002	C016	37.9032	0.1338
T0002	C018	58.9063	0.0943
T0002	C019	30.8235	0.0411
T0002	C020	52.5678	0.2482
T0002	C021	39.2364	0.0285
T0002	C022	43.1244	0.0262
T0002	C023	32.0609	0.0130
T0002	C024	62.0311	0.0710
T0002	C025	30.8468	0.0382
