task_id_list	courier_id	total_score	willingness
T0000	C000	59.2122	0.1938
T0000	C002	37.7324	0.4096
T0000	C004	22.9426	0.4595
T0000	C005	45.3180	0.5673
T0000	C006	28.7864	0.2453
T0000	C007	50.0541	0.2821
T0000	C008	42.4482	0.6408
T0000	C009	46.0084	0.4948
T0000	C010	12.9784	0.3349
T0000	C011	57.2371	0.6084
T0000	C015	56.1889	0.6396
T0000	C016	35.9420	0.3495
T0000	C017	30.1879	0.1697
T0000	C018	51.1407	0.3088
T0000	C019	43.4822	0.0627
T0000	C021	49.6063	0.4175
T0000	C022	36.6542	0.3070
T0000	C023	49.6003	0.4227
T0000	C024	55.2994	0.2103
T0000	C026	33.7562	0.4371
T0000	C027	58.5371	0.2736
T0000	C028	26.8950	0.1819
T0000	C029	31.4963	0.4490
T0000	C031	55.5257	0.2413
T0000	C033	50.7239	0.5069
T0000	C034	45.8575	0.3631
T0000	C035	31.5031	0.4701
T0000	C036	22.3233	0.1701
T0000	C037	31.5061	0.2854
T0000	C038	46.5710	0.4908
T0000	C039	42.8541	0.3388
T0000	C040	63.2199	0.0541
T0000	C041	19.7936	0.4018
T0000	C042	20.1022	0.1921
T0000	C045	35.8482	0.5249
T0000	C047	42.0135	0.3530
T0000	C048	46.6179	0.4806
T0000	C050	32.6134	0.2516
T0000	C051	46.0598	0.2600
T0000	C053	59.5613	0.3036
T0000	C054	30.5377	0.1248
T0000	C055	27.6575	0.4810
T0000	C056	25.6454	0.3030
T0000	C057	49.0222	0.4383
T0000	C058	50.4794	0.2314
T0001	C000	49.3051	0.3415
T0001	C002	50.6229	0.2927
T0001	C003	50.8983	0.4329
T0001	C004	24.0442	0.5773
T0001	C005	28.6090	0.3779
T0001	C006	32.8468	0.1907
T0001	C007	39.5063	0.1748
T0001	C008	27.0077	0.6667
T0001	C009	32.6036	0.3765
T0001	C010	18.8043	0.3208
T0001	C011	25.8044	0.1478
T0001	C012	15.6285	0.5204
T0001	C013	35.0320	0.2082
T0001	C015	27.1376	0.1759
T0001	C016	33.3971	0.4140
T0001	C018	37.7188	0.5470
T0001	C019	57.9775	0.3064
T0001	C022	25.3043	0.1974
T0001	C023	44.0761	0.3566
T0001	C025	59.2833	0.7055
T0001	C027	44.8182	0.4886
T0001	C028	15.4889	0.4580
T0001	C029	67.0214	0.3071
T0001	C031	62.3608	0.3697
T0001	C032	30.4668	0.3949
T0001	C033	24.7350	0.3696
T0001	C034	34.9356	0.0622
T0001	C035	49.3627	0.1152
