task_id_list	courier_id	total_score	willingness
T0000	C000	31.1692	0.3435
T0000	C001	48.6183	0.3593
T0000	C002	33.9690	0.4686
T0000	C003	38.8341	0.2524
T0000	C004	54.7338	0.3249
T0000	C005	43.9655	0.1527
T0000	C006	45.9986	0.4933
T0000	C007	57.0238	0.1391
T0000	C009	22.6774	0.3328
T0000	C010	29.4603	0.6363
T0000	C011	66.8146	0.4272
T0000	C012	39.0471	0.3218
T0000	C014	26.9799	0.4139
T0000	C015	31.5198	0.6871
T0000	C016	63.3685	0.1416
T0000	C017	47.7031	0.5856
T0000	C018	45.2623	0.1343
T0000	C019	19.8378	0.6753
T0000	C020	57.6973	0.6373
T0000	C021	32.8537	0.5091
T0000	C022	34.0249	0.4634
T0000	C023	44.5952	0.1468
T0000	C025	28.5616	0.3325
T0000	C026	22.2767	0.1972
T0000	C028	39.0702	0.5140
T0000	C029	26.1806	0.7813
T0000	C030	38.2768	0.5634
T0000	C031	22.9339	0.0473
T0000	C032	57.5699	0.4878
T0000	C033	44.1018	0.6218
T0000	C036	29.5888	0.4916
T0000	C037	24.5485	0.4804
T0001	C000	43.6453	0.2426
T0001	C001	38.2880	0.2483
T0001	C002	26.4365	0.0711
T0001	C003	59.6947	0.2367
T0001	C004	47.9440	0.6274
T0001	C006	20.9103	0.4446
T0001	C007	22.9639	0.3344
T0001	C008	57.1966	0.2229
T0001	C009	36.4760	0.3584
T0001	C010	51.5118	0.2949
T0001	C011	43.8182	0.7110
T0001	C012	45.9715	0.6043
T0001	C013	28.7788	0.3388
T0001	C014	45.1760	0.3758
T0001	C016	49.4526	0.5108
T0001	C021	35.4396	0.1976
T0001	C022	42.7961	0.1583
T0001	C023	23.2539	0.4768
T0001	C024	32.8934	0.3225
T0001	C025	40.7005	0.4803
T0001	C028	35.7262	0.2671
T0001	C029	17.9770	0.2391
T0001	C032	39.8439	0.4577
T0001	C033	31.0964	0.1695
T0001	C034	45.6804	0.2732
T0001	C035	38.1930	0.3053
T0001	C036	36.5176	0.1430
T0001	C037	51.1553	0.3453
T0002	C000	44.6087	0.0993
T0002	C001	45.2805	0.4836
T0002	C002	26.1223	0.3562
T0002	C003	31.1506	0.2115
T0002	C004	18.7040	0.3578
T0002	C005	43.8584	0.5897
T0002	C006	42.0192	0.4767
T0002	C007	38.3508	0.1795
T0002	C009	20.3136	0.0719
T0002	C010	57.1717	0.3376
T0002	C011	47.0970	0.6788
T0002	C012	42.4254	0.2818
T0002	C013	49.1737	0.3998
T0002	C014	55.1277	0.4140
T0002	C015	20.4811	0.2315
T0002	C016	33.1145	0.2302
T0002	C017	57.4049	0.4542
T0002	C018	61.1019	0.1340
T0002	C019	19.8018	0.2390
T0002	C020	37.8814	0.1397
T0002	C021	42.7139	0.1675
T0002	C023	28.9601	0.6510
T0002	C024	33.7112	0.2413
T0002	C025	34.9632	0.4131
T0002	C027	58.6814	0.4312
T0002	C028	66.1402	0.2205
T0002	C029	35.6400	0.4764
T0002	C030	47.8844	0.4206
T0002	C031	46.4322	0.2239
T0002	C032	51.8575	0.2221
T0002	C034	37.2201	0.3159
T0002	C035	57.2780	0.6957
T0002	C037	51.0184	0.2380
T0003	C001	40.7243	0.2674
T0003	C002	35.3851	0.2587
T0003	C003	15.2373	0.7921
T0003	C004	41.3203	0.3020
T0003	C005	29.4748	0.5002
T0003	C006	26.0247	0.3188
T0003	C007	41.9398	0.2578
T0003	C008	41.3032	0.2733
T0003	C009	28.5648	0.1068
T0003	C010	50.4090	0.4840
T0003	C011	55.4039	0.1911
T0003	C012	41.9432	0.2460
T0003	C013	41.9671	0.3286
T0003	C014	65.6091	0.3658
T0003	C015	54.0138	0.6135
T0003	C017	36.4803	0.2851
T0003	C018	35.7383	0.6632
T0003	C019	25.6770	0.5034
T0003	C020	21.7781	0.2133
T0003	C021	64.2369	0.2393
T0003	C022	42.8452	0.3091
T0003	C024	40.9531	0.2607
T0003	C025	15.0014	0.3608
T0003	C026	52.0435	0.4552
T0003	C027	46.5755	0.2901
T0003	C028	53.3901	0.3410
T0003	C030	24.1239	0.6430
T0003	C031	25.3820	0.3107
T0003	C032	28.1986	0.5096
T0003	C033	38.9100	0.8211
T0003	C034	54.1129	0.2012
T0003	C036	27.0078	0.4435
T0003	C037	33.6850	0.3679
T0004	C000	28.8902	0.0916
T0004	C001	63.0061	0.2719
T0004	C002	22.5551	0.2654
T0004	C003	42.3314	0.2611
T0004	C004	30.0824	0.5604
T0004	C005	37.3042	0.4523
T0004	C006	29.8284	0.1895
T0004	C007	48.3741	0.3870
T0004	C008	56.3566	0.4760
T0004	C009	39.0416	0.2067
T0004	C010	42.4772	0.2208
T0004	C011	49.1401	0.3321
T0004	C012	44.5584	0.2695
T0004	C013	33.1735	0.5760
T0004	C014	13.2878	0.5250
T0004	C015	57.7480	0.6322
T0004	C016	46.3201	0.5589
T0004	C019	48.1115	0.2872
T0004	C021	24.9822	0.2115
T0004	C022	55.3560	0.1647
T0004	C023	30.7053	0.5110
T0004	C024	26.0797	0.3336
T0004	C025	44.3364	0.1519
T0004	C026	31.0295	0.4247
T0004	C027	28.1932	0.5571
T0004	C028	49.7233	0.4842
T0004	C031	22.6781	0.2392
T0004	C032	60.0232	0.1494
T0004	C033	45.6400	0.3868
T0004	C035	37.0812	0.4145
T0004	C037	36.3377	0.2430
T0005	C000	29.7007	0.3359
T0005	C001	38.4706	0.3856
T0005	C002	38.4802	0.5450
T0005	C003	56.2551	0.7706
T0005	C004	42.6228	0.3669
T0005	C005	25.5982	0.5409
T0005	C006	41.5609	0.2347
T0005	C007	43.7673	0.4357
T0005	C008	34.5372	0.2740
T0005	C009	53.7899	0.2345
T0005	C011	38.7599	0.3909
T0005	C012	35.5380	0.5092
T0005	C013	38.1689	0.4047
T0005	C014	37.3717	0.1144
T0005	C015	23.0109	0.4179
T0005	C016	60.1445	0.2094
T0005	C018	53.1165	0.2734
T0005	C019	34.2542	0.2373
T0005	C021	45.5686	0.4169
T0005	C023	57.9239	0.6331
T0005	C025	44.5705	0.3377
T0005	C027	34.8437	0.5051
T0005	C028	30.8370	0.4818
T0005	C029	27.2628	0.2368
T0005	C031	43.6991	0.3328
T0005	C034	57.1800	0.4138
T0005	C036	24.2668	0.3844
T0005	C037	35.4094	0.4351
T0006	C000	37.2830	0.5255
T0006	C001	38.3704	0.3084
T0006	C002	49.6745	0.6933
T0006	C003	20.9736	0.3799
T0006	C004	20.0611	0.2519
T0006	C005	36.1334	0.3423
T0006	C006	25.2615	0.5708
T0006	C007	63.7609	0.4119
T0006	C008	56.2342	0.4142
T0006	C009	20.9002	0.2402
T0006	C011	36.1059	0.2277
T0006	C012	42.5751	0.2332
T0006	C013	21.5203	0.5270
T0006	C014	18.8177	0.1890
T0006	C017	30.6174	0.1961
T0006	C018	55.6198	0.5912
T0006	C019	44.6945	0.4018
T0006	C020	34.7708	0.1410
T0006	C021	49.9091	0.5935
T0006	C022	25.1139	0.4515
T0006	C024	53.0725	0.3624
T0006	C025	44.9125	0.6764
T0006	C026	54.7260	0.3502
T0006	C027	43.9644	0.3932
T0006	C028	51.5031	0.5428
T0006	C030	44.0976	0.4482
T0006	C031	20.3330	0.6833
T0006	C032	61.6858	0.3212
T0006	C033	54.1589	0.6486
T0006	C034	43.5095	0.5119
T0006	C035	42.1088	0.4243
T0006	C036	44.8712	0.2036
T0007	C000	38.5214	0.4538
T0007	C001	59.9468	0.1341
T0007	C002	19.3681	0.3633
T0007	C003	47.7200	0.2498
T0007	C004	29.8291	0.7469
T0007	C005	36.0222	0.1515
T0007	C006	49.7018	0.6043
T0007	C007	34.8814	0.2999
T0007	C009	38.4017	0.3792
T0007	C010	24.1807	0.3389
T0007	C011	31.9503	0.2051
T0007	C012	52.1787	0.6310
T0007	C013	46.8453	0.4940
T0007	C014	34.3561	0.3835
T0007	C015	36.6599	0.4842
T0007	C016	47.7746	0.2420
T0007	C017	34.3816	0.1125
T0007	C018	33.6167	0.3202
T0007	C019	22.1796	0.7656
T0007	C020	31.7952	0.5808
T0007	C021	56.2008	0.2893
T0007	C023	39.9603	0.4935
T0007	C024	47.3127	0.2752
T0007	C025	59.9595	0.4219
T0007	C026	44.1378	0.1407
T0007	C027	39.8137	0.0953
T0007	C028	45.2625	0.4218
T0007	C030	28.9801	0.1625
T0007	C035	35.1734	0.4376
T0007	C036	39.1959	0.2157
T0008	C000	47.7143	0.4301
T0008	C001	43.5028	0.3983
T0008	C002	46.8809	0.4516
T0008	C003	55.4350	0.4193
T0008	C004	28.0101	0.3480
T0008	C005	57.7713	0.0529
T0008	C006	31.9871	0.7676
T0008	C007	50.0525	0.6307
T0008	C008	49.5438	0.0965
T0008	C009	45.7359	0.6187
T0008	C010	22.0503	0.3735
T0008	C011	32.9641	0.6518
T0008	C012	35.3484	0.2867
T0008	C013	43.0759	0.2289
T0008	C015	57.9822	0.5988
T0008	C016	49.0643	0.4751
T0008	C017	46.1002	0.1452
T0008	C018	53.9106	0.6585
T0008	C019	24.8952	0.2855
T0008	C020	46.8052	0.5459
T0008	C022	27.3696	0.5613
T0008	C023	49.7009	0.1259
T0008	C024	36.4853	0.2408
T0008	C026	47.5986	0.4553
T0008	C027	42.2214	0.0528
T0008	C029	48.3359	0.1592
T0008	C030	64.5274	0.2646
T0008	C031	28.9196	0.2558
T0008	C032	35.5012	0.2612
T0008	C033	47.1589	0.7188
T0008	C034	33.7680	0.4191
T0009	C000	62.5927	0.4124
T0009	C001	31.5864	0.5903
