task_id_list	courier_id	total_score	willingness
T0000	C000	42.6965	0.2482
T0000	C001	30.3195	0.3911
T0000	C002	33.5751	0.4930
T0000	C003	35.1237	0.3448
T0000	C004	36.8115	0.2189
T0000	C005	47.2763	0.2360
T0000	C006	41.6373	0.7678
T0000	C007	52.9575	0.3871
T0000	C008	30.0140	0.6016
T0000	C009	41.3437	0.2676
T0000	C010	35.4338	0.3976
T0000	C015	50.7023	0.1614
T0000	C016	22.0342	0.3086
T0000	C017	38.3314	0.3793
T0000	C018	43.2160	0.2344
T0000	C019	19.3054	0.5216
T0000	C020	47.7893	0.3909
T0000	C021	37.9221	0.6238
T0000	C023	33.3900	0.2707
T0000	C024	40.5795	0.1730
T0000	C025	43.7765	0.2936
T0000	C026	24.0611	0.1740
T0000	C027	35.0683	0.1353
T0000	C028	36.7760	0.4192
T0000	C030	28.3153	0.2062
T0000	C033	18.2250	0.1818
T0000	C034	37.7576	0.5652
T0000	C035	23.3149	0.0776
T0000	C036	44.2089	0.1555
T0000	C037	34.0539	0.2714
T0000	C038	44.3848	0.5033
T0000	C040	45.3664	0.1885
T0000	C041	28.0320	0.3788
T0000	C045	44.1819	0.6343
T0000	C047	28.8729	0.5626
T0000	C048	53.2835	0.6635
T0000	C050	40.6409	0.5650
T0000	C051	28.0068	0.5164
T0000	C053	39.1976	0.5419
T0000	C054	28.6077	0.1483
T0001	C004	46.4563	0.1963
T0001	C006	33.9049	0.3423
T0001	C007	28.6352	0.3781
T0001	C009	47.9851	0.2995
T0001	C010	39.5575	0.3688
T0001	C011	19.1813	0.6299
T0001	C012	25.1105	0.4156
T0001	C013	35.2101	0.1745
T0001	C014	28.4985	0.4567
T0001	C016	35.6750	0.1132
T0001	C017	46.2824	0.4560
T0001	C021	20.4760	0.5546
T0001	C022	25.5835	0.2601
T0001	C023	16.8682	0.4073
T0001	C024	31.3428	0.3972
T0001	C026	34.1273	0.5824
T0001	C027	21.9823	0.3349
T0001	C029	23.6387	0.3784
T0001	C030	15.2581	0.4465
T0001	C033	30.6868	0.3898
T0001	C034	48.9279	0.6607
T0001	C035	23.6780	0.6355
T0001	C037	47.8567	0.3129
T0001	C039	41.0586	0.5591
T0001	C042	35.5799	0.3890
T0001	C043	40.6114	0.2500
T0001	C045	50.7566	0.3618
T0001	C046	39.1364	0.5249
T0001	C047	41.6947	0.2381
T0001	C048	31.7354	0.2163
T0001	C049	28.0654	0.3238
T0001	C050	44.2102	0.6602
T0001	C051	18.2131	0.1945
T0001	C052	27.5240	0.1400
T0002	C000	26.8041	0.5498
T0002	C004	36.4618	0.2518
T0002	C005	21.6856	0.5534
T0002	C007	38.4802	0.6828
T0002	C008	26.7791	0.4544
T0002	C010	32.9353	0.1358
T0002	C013	31.3882	0.5635
T0002	C014	41.9063	0.1162
T0002	C015	36.4520	0.4465
T0002	C017	50.4802	0.5455
T0002	C018	46.3540	0.3655
T0002	C021	37.2896	0.3629
T0002	C023	44.3868	0.5389
T0002	C024	28.0889	0.4564
T0002	C025	18.4835	0.3144
T0002	C026	28.6975	0.1920
T0002	C029	33.3710	0.1623
T0002	C032	33.1071	0.4197
T0002	C033	43.0662	0.5846
T0002	C034	50.3179	0.3940
T0002	C036	19.4783	0.2918
T0002	C038	29.2837	0.3693
T0002	C039	31.8503	0.5679
T0002	C041	49.4892	0.2708
T0002	C042	20.4406	0.1551
T0002	C043	41.2173	0.5744
T0002	C044	23.7529	0.4168
T0002	C045	33.4833	0.2952
T0002	C046	27.6311	0.1811
T0002	C047	29.8485	0.3384
T0002	C048	39.9861	0.2087
T0002	C049	21.3100	0.4338
T0002	C050	45.7606	0.3027
T0002	C053	32.4098	0.2859
T0002	C054	22.1334	0.0974
T0003	C001	28.1699	0.1095
T0003	C002	21.5586	0.3490
T0003	C003	53.2832	0.1972
T0003	C004	40.8742	0.3968
T0003	C006	31.7896	0.2242
T0003	C007	49.9879	0.5185
T0003	C008	37.6465	0.2137
T0003	C009	43.1167	0.4506
T0003	C010	22.3547	0.6724
T0003	C011	27.2454	0.2616
T0003	C012	32.9801	0.4940
T0003	C013	30.4755	0.2045
T0003	C014	38.8543	0.1923
T0003	C016	44.7836	0.5958
T0003	C018	41.1318	0.7517
T0003	C019	33.1922	0.6006
T0003	C021	50.5452	0.5930
T0003	C022	19.8813	0.6346
T0003	C024	34.3386	0.3167
T0003	C025	30.8348	0.4110
T0003	C026	25.6846	0.2680
T0003	C028	27.8557	0.3930
T0003	C030	33.6487	0.6450
T0003	C032	49.7607	0.2161
T0003	C033	22.1755	0.2416
T0003	C035	30.0568	0.1962
T0003	C038	29.4607	0.2756
T0003	C040	27.8878	0.4307
T0003	C041	17.2362	0.4663
T0003	C044	25.5546	0.4803
T0003	C050	46.8711	0.3222
T0003	C051	19.3113	0.1678
T0003	C052	39.7143	0.2583
T0003	C053	34.7351	0.5787
T0004	C001	24.8443	0.2673
T0004	C002	41.0046	0.3234
T0004	C004	45.5923	0.3900
T0004	C005	28.9994	0.5869
T0004	C006	48.9490	0.2482
T0004	C008	15.4971	0.4318
T0004	C009	40.1617	0.7120
T0004	C010	32.6658	0.4827
T0004	C011	22.2453	0.4444
T0004	C012	48.2466	0.4123
T0004	C013	46.5167	0.3150
T0004	C014	36.7555	0.5923
T0004	C015	32.4296	0.2470
T0004	C016	44.7506	0.3926
T0004	C017	31.9571	0.2829
T0004	C018	37.5345	0.2391
T0004	C019	37.1603	0.2254
T0004	C020	15.5726	0.6430
T0004	C022	27.0031	0.6217
T0004	C024	24.5123	0.5343
T0004	C025	27.4934	0.3121
T0004	C026	20.7162	0.4022
T0004	C027	19.8395	0.3600
T0004	C028	33.4419	0.4839
T0004	C030	34.3934	0.4969
T0004	C031	16.5724	0.5887
T0004	C032	53.4472	0.1989
T0004	C034	26.8861	0.6751
T0004	C035	41.7672	0.2726
T0004	C036	25.1390	0.6789
T0004	C037	45.0319	0.2464
T0004	C038	24.7272	0.1191
T0004	C039	32.0886	0.2838
T0004	C041	46.6463	0.2599
T0004	C043	50.5062	0.2562
T0004	C044	29.8158	0.1656
T0004	C048	42.6024	0.5543
T0004	C049	24.1431	0.1578
T0004	C051	45.7544	0.3119
T0004	C052	20.6698	0.4642
