task_id_list	courier_id	total_score	willingness
T0037,T0039	C028	54.351	0.6147
T0007,T0037	C044	41.6515	0.1288
T0001,T0030	C037	42.5745	0.0502
T0012	C073	43.592	0.1602
T0023,T0034	C057	74.839	0.5323
T0010,T0030	C066	81.7618	0.6663
T0018,T0020	C037	53.0484	0.2645
T0024,T0037	C036	60.111	0.1314
T0025,T0031	C002	56.2079	0.2946
T0017,T0036	C062	83.3179	0.6038
T0008,T0028	C057	77.851	0.4472
T0005,T0018	C035	67.463	0.1136
T0003,T0022	C037	73.2303	0.0645
T0017,T0037	C069	61.1524	0.0427
T0000,T0029	C047	47.3649	0.1193
T0014	C016	47.5573	0.4575
T0022,T0025	C036	42.6439	0.0985
T0012,T0018	C030	31.9821	0.2226
T0021,T0028	C015	74.9269	0.477
T0002,T0007	C078	63.6092	0.7757
T0021,T0024	C054	60.8103	0.6024
T0009,T0031	C017	83.7906	0.5923
T0029,T0038	C048	54.65	0.286
T0008,T0031	C078	73.5187	0.5651
T0019,T0020	C039	96.8725	0.025
T0029,T0035	C047	34.5374	0.1491
T0013,T0027	C074	45.0657	0.0492
T0009,T0028	C065	80.4085	0.2764
T0006,T0020	C048	39.7928	0.0705
T0007,T0037	C014	73.9136	0.4106
T0007,T0037	C019	64.7279	0.2832
T0034,T0035	C070	55.0442	0.1306
T0015,T0023	C056	75.0664	0.5638
T0020,T0021	C074	43.5774	0.1159
T0013,T0034	C010	54.346	0.7087
T0016,T0029	C075	100	0.1698
T0037,T0039	C034	50.0282	0.2346
T0006,T0037	C026	27.8769	0.1557
T0005,T0012	C064	50.3485	0.0432
T0005,T0032	C028	85.2528	0.0588
T0007,T0018	C045	32.5237	0.0949
T0000,T0030	C017	70.1484	0.0302
T0003,T0015	C016	66.8335	0.3494
T0006,T0007	C001	54.4047	0.1387
T0037	C010	36.4466	0.776
T0017,T0029	C064	46.2737	0.1943
T0030	C031	28.3386	0.4903
T0004,T0017	C053	44.1705	0.8787
T0017,T0032	C063	80.2321	0.3772
T0005,T0014	C000	70.4478	0.241
T0033,T0036	C001	96.4413	0.2137
T0012,T0021	C050	76.926	0.7062
T0001,T0028	C018	75.3122	0.6088
T0016,T0030	C029	38.9758	0.8002
T0005,T0008	C016	39.3041	0.0558
T0002,T0032	C034	65.1841	0.4134
T0013,T0014	C002	64.1153	0.0298
T0033	C021	39.3983	0.5299
T0001,T0039	C010	25.0498	0.3922
T0000,T0029	C022	74.0287	0.1243
T0021	C079	41.1725	0.7452
T0004,T0026	C034	55.2115	0.6949
T0013,T0022	C072	52.1857	0.3051
T0012,T0034	C033	67.9894	0.4571
T0003,T0005	C071	47.0637	0.5114
T0015	C071	42.2278	0.7875
T0030,T0032	C077	33.5992	0.4036
T0001,T0014	C061	84.0252	0.5683
T0033,T0036	C050	44.196	0.6625
T0006,T0034	C060	25.7005	0.1112
T0006,T0039	C040	29.909	0.3286
T0009,T0018	C028	71.5294	0.1939
T0000	C076	34.7465	0.5582
T0023,T0025	C078	51.917	0.0969
T0018,T0036	C023	53.6402	0.3008
T0007,T0010	C056	67.937	0.0903
T0014,T0036	C028	58.4665	0.3825
T0012,T0021	C079	61.3122	0.6657
T0007,T0031	C048	45.0347	0.3964
T0017,T0031	C010	71.2752	0.1961
T0023,T0030	C067	51.6354	0.3627
T0002,T0025	C062	81.5951	0.1128
T0008	C062	41.7196	0.4966
T0015,T0031	C077	43.4975	0.189
T0024,T0036	C071	22.9951	0.0784
T0000,T0027	C048	100	0.304
T0019,T0027	C033	75.1119	0.3841
