task_id_list	courier_id	total_score	willingness
T0037,T0039	C028	53.7958	0.5895
T0007,T0037	C044	37.1649	0.1412
T0001,T0030	C037	43.5308	0.045
T0012	C073	49.7488	0.1486
T0023,T0034	C057	82.8703	0.5792
T0010,T0030	C066	71.9865	0.601
T0018,T0020	C037	57.3297	0.2631
T0024,T0037	C036	68.9669	0.1249
T0025,T0031	C002	64.4045	0.284
T0017,T0036	C062	86.0018	0.703
T0008,T0028	C057	79.3074	0.5455
T0005,T0018	C035	60.732	0.1024
T0003,T0022	C037	72.4413	0.0601
T0017,T0037	C069	58.1964	0.0454
T0000,T0029	C047	50.7299	0.1236
T0014	C016	47.3644	0.4253
T0022,T0025	C036	37.4688	0.1033
T0012,T0018	C030	30.9211	0.2377
T0021,T0028	C015	78.2831	0.4675
T0002,T0007	C078	69.7842	0.663
T0021,T0024	C054	54.9059	0.6239
T0009,T0031	C017	84.3333	0.6207
T0029,T0038	C048	49.8916	0.2484
T0008,T0031	C078	75.7496	0.5484
T0019,T0020	C039	100	0.0249
T0029,T0035	C047	37.0203	0.1437
T0013,T0027	C074	44.1223	0.0473
T0009,T0028	C065	75.9609	0.2493
T0006,T0020	C048	36.026	0.0657
T0007,T0037	C014	88.438	0.5005
T0007,T0037	C019	68.5008	0.2524
T0034,T0035	C070	51.8212	0.147
T0015,T0023	C056	75.1145	0.5707
T0020,T0021	C074	44.1052	0.1301
T0013,T0034	C010	51.7355	0.7388
T0016,T0029	C075	99.1716	0.1512
T0037,T0039	C034	54.2865	0.2275
T0006,T0037	C026	38.4815	0.1767
T0005,T0012	C064	48.8367	0.047
T0005,T0032	C028	92.542	0.0569
T0007,T0018	C045	39.8956	0.089
T0000,T0030	C017	74.3595	0.0308
T0003,T0015	C016	60.7414	0.3256
T0006,T0007	C001	47.6258	0.161
T0037	C010	32.7161	0.7785
T0017,T0029	C064	44.3678	0.1822
T0030	C031	29.8299	0.5768
T0004,T0017	C053	42.6875	0.8588
T0017,T0032	C063	75.4068	0.3238
T0005,T0014	C000	74.917	0.2044
T0033,T0036	C001	84.0959	0.2247
T0012,T0021	C050	75.8705	0.6962
T0001,T0028	C018	66.998	0.5183
T0016,T0030	C029	39.9871	0.8185
T0005,T0008	C016	42.3401	0.0614
T0002,T0032	C034	66.3441	0.4102
