task_id_list	courier_id	total_score	willingness
T0037,T0039	C028	51.3128	0.18
T0007,T0037	C044	36.6123	0.0915
T0001,T0030	C037	42.9003	0.0291
T0012	C073	49.8343	0.0859
T0023,T0034	C057	83.6698	0.18
T0010,T0030	C066	73.0386	0.18
T0018,T0020	C037	57.3463	0.1675
T0024,T0037	C036	68.3968	0.0858
T0025,T0031	C002	59.658	0.164
T0017,T0036	C062	86.9083	0.18
T0008,T0028	C057	77.5336	0.18
T0005,T0018	C035	61.1026	0.0658
T0003,T0022	C037	74.1888	0.034
T0017,T0037	C069	61.4382	0.0281
T0000,T0029	C047	51.8788	0.0771
T0014	C016	47.9495	0.18
T0022,T0025	C036	36.4399	0.0602
T0012,T0018	C030	30.3519	0.1431
T0021,T0028	C015	83.6977	0.18
T0002,T0007	C078	67.9773	0.18
T0021,T0024	C054	53.9795	0.18
T0009,T0031	C017	83.7401	0.18
T0029,T0038	C048	50.787	0.162
T0008,T0031	C078	75.0217	0.18
T0019,T0020	C039	100	0.0128
T0029,T0035	C047	36.94	0.0903
T0013,T0027	C074	42.9519	0.026
T0009,T0028	C065	76.4157	0.18
T0006,T0020	C048	37.4725	0.0413
T0007,T0037	C014	88.254	0.18
T0007,T0037	C019	65.7477	0.1666
T0034,T0035	C070	48.9278	0.083
T0015,T0023	C056	75.748	0.18
T0020,T0021	C074	44.1283	0.0746
T0013,T0034	C010	54.6577	0.18
T0016,T0029	C075	99.9164	0.0985
T0037,T0039	C034	55.5595	0.1356
T0006,T0037	C026	36.7285	0.1014
T0005,T0012	C064	50.7579	0.028
T0005,T0032	C028	91.3061	0.0338
T0007,T0018	C045	40.5545	0.0526
T0000,T0030	C017	70.8788	0.0176
T0003,T0015	C016	61.4557	0.18
T0006,T0007	C001	48.7454	0.0959
T0037	C010	31.9433	0.18
T0017,T0029	C064	45.0488	0.1141
T0030	C031	30.1387	0.18
T0004,T0017	C053	39.876	0.18
T0017,T0032	C063	76.5981	0.18
T0005,T0014	C000	77.5227	0.1464
T0033,T0036	C001	85.3934	0.1138
T0012,T0021	C050	76.674	0.18
T0001,T0028	C018	73.7093	0.18
T0016,T0030	C029	40.9955	0.18
T0005,T0008	C016	44.1396	0.0377
T0002,T0032	C034	66.5789	0.18
T0013,T0014	C002	70.0356	0.0178
T0033	C021	38.2385	0.18
T0001,T0039	C010	27.079	0.18
T0000,T0029	C022	76.9482	0.0791
T0021	C079	39.191	0.18
T0004,T0026	C034	57.4668	0.18
T0013,T0022	C072	53.3042	0.1741
T0012,T0034	C033	74.8202	0.18
T0003,T0005	C071	47.9213	0.18
T0015	C071	39.5754	0.18
T0030,T0032	C077	38.8469	0.18
T0001,T0014	C061	73.5986	0.18
T0033,T0036	C050	46.9336	0.18
T0006,T0034	C060	27.9104	0.0766
T0006,T0039	C040	30.7671	0.18
T0009,T0018	C028	64.1186	0.1103
T0000	C076	37.6213	0.18
T0023,T0025	C078	48.6985	0.0719
T0018,T0036	C023	59.6948	0.18
T0007,T0010	C056	59.4289	0.0492
T0014,T0036	C028	61.3766	0.18
T0012,T0021	C079	70.2338	0.18
T0007,T0031	C048	50.3817	0.18
T0017,T0031	C010	63.8997	0.1419
T0023,T0030	C067	54.4124	0.18
T0002,T0025	C062	88.1477	0.0702
T0008	C062	42.1199	0.18
T0015,T0031	C077	45.7678	0.1074
T0024,T0036	C071	22.641	0.0551
T0000,T0027	C048	99.7425	0.1791
T0019,T0027	C033	79.755	0.18
T0020,T0027	C037	74.7338	0.1727
T0004,T0015	C056	71.1553	0.18
T0008,T0022	C002	44.1744	0.1186
T0008,T0018	C019	53.7548	0.0591
T0013,T0015	C052	75.7925	0.18
T0002,T0023	C029	81.9216	0.18
T0029,T0034	C039	34.752	0.18
T0008,T0019	C064	58.456	0.1274
T0002,T0011	C064	72.3994	0.0821
T0008,T0029	C025	31.0618	0.18
T0000	C012	28.0871	0.18
T0028,T0032	C039	65.0643	0.0976
T0010,T0022	C070	52.4862	0.0563
T0027	C017	39.4797	0.18
T0005,T0015	C070	74.1899	0.1656
T0015,T0020	C030	99.5707	0.18
T0024,T0027	C013	34.0233	0.1463
T0007,T0012	C013	52.916	0.1171
T0001,T0033	C004	47.6711	0.18
T0015,T0036	C011	18.5454	0.0275
T0025,T0028	C073	75.2655	0.0648
T0005,T0030	C000	38.3554	0.0225
T0005,T0015	C057	49.9591	0.0308
T0009,T0015	C013	64.9944	0.18
T0015,T0022	C046	47.3737	0.18
T0000,T0020	C028	28.7766	0.1627
T0003,T0005	C001	37.5276	0.1349
T0000,T0039	C045	46.7873	0.0858
T0013,T0038	C052	85.8826	0.18
T0007	C006	15.8976	0.1221
T0001,T0002	C075	68.5743	0.18
T0007,T0019	C030	45.171	0.0511
T0031,T0035	C037	77.3256	0.18
T0002,T0006	C033	27.6078	0.01
T0016,T0031	C069	74.1189	0.18
T0025,T0033	C051	58.2869	0.0363
T0003	C015	44.2971	0.134
T0009,T0026	C017	73.9886	0.132
T0027,T0038	C037	65.0195	0.18
T0013,T0017	C043	67.1823	0.0726
T0005,T0015	C004	58.3616	0.1297
T0011,T0015	C076	47.8825	0.18
T0031,T0033	C071	89.2594	0.18
T0007,T0036	C016	37.2063	0.0962
T0016,T0018	C059	59.6408	0.18
T0002,T0004	C005	63.9216	0.1762
T0000,T0033	C009	34.5367	0.0874
T0001,T0008	C026	57.8926	0.0372
T0005,T0026	C025	47.0652	0.18
T0004,T0013	C060	40.5587	0.18
T0019,T0032	C078	55.601	0.1443
T0022,T0034	C067	70.7341	0.0796
T0003,T0027	C074	66.843	0.1059
T0032,T0038	C041	41.3422	0.18
T0022,T0034	C055	45.929	0.0644
T0031,T0035	C009	32.2422	0.0812
T0001,T0036	C061	57.6461	0.1118
T0021,T0026	C052	55.7054	0.0312
T0004,T0006	C026	31.7938	0.1355
T0029,T0035	C048	45.162	0.18
T0007,T0033	C074	73.2552	0.098
T0014,T0030	C040	82.5436	0.1355
T0000,T0010	C006	49.9464	0.18
T0010,T0037	C006	59.891	0.1327
T0032,T0035	C025	73.8565	0.1138
T0015,T0025	C047	65.966	0.1122
T0026,T0038	C002	63.1311	0.18
T0022,T0025	C041	22.9788	0.0747
T0020,T0037	C033	56.8099	0.1181
T0002,T0019	C073	60.9988	0.18
T0013,T0039	C005	77.4959	0.18
T0032	C016	13.3242	0.1712
T0011,T0021	C004	27.6263	0.0388
T0027,T0039	C052	60.3765	0.18
T0007,T0028	C046	51.1702	0.0988
T0021,T0033	C071	64.4963	0.18
T0005,T0014	C028	75.2521	0.0975
T0014,T0026	C076	47.9059	0.1755
T0031,T0037	C079	53.1267	0.147
T0020,T0036	C001	62.3449	0.18
T0000,T0022	C072	47.825	0.18
T0015,T0026	C025	62.5959	0.18
T0024,T0034	C027	51.5833	0.18
T0030,T0033	C010	32.3755	0.18
T0000,T0015	C046	69.9748	0.18
T0005,T0015	C003	20.5945	0.1294
T0008,T0013	C025	51.5217	0.18
T0011,T0015	C013	71.6201	0.0844
T0022,T0023	C030	88.0914	0.1282
T0015,T0038	C059	88.8091	0.1476
T0024,T0038	C004	27.2002	0.0957
T0037	C031	29.6216	0.18
T0007,T0009	C073	60.6875	0.18
T0002,T0012	C065	80.9104	0.18
T0026,T0027	C010	63.5032	0.0849
T0003,T0017	C033	46.6042	0.0763
T0018,T0028	C077	53.5755	0.18
T0005,T0016	C024	55.4901	0.0554
T0024,T0034	C025	27.8603	0.0567
T0034	C069	45.2961	0.18
T0009,T0034	C016	34.6515	0.18
T0019,T0026	C004	29.7912	0.0886
T0008,T0027	C038	39.5732	0.18
T0001,T0038	C077	58.6019	0.0182
T0008,T0016	C062	72.9643	0.18
T0006,T0022	C030	62.1882	0.1688
T0035,T0039	C003	65.5893	0.0589
T0013,T0037	C028	53.4201	0.18
T0024,T0033	C075	69.4085	0.038
T0011	C055	46.439	0.18
T0026,T0039	C059	72.0252	0.152
T0025,T0033	C014	91.3728	0.1088
T0011,T0012	C003	92.5824	0.18
T0020,T0025	C078	64.2453	0.1159
T0013,T0038	C046	62.1523	0.18
T0032,T0038	C055	39.6723	0.0532
T0016,T0019	C058	59.0178	0.18
T0017,T0023	C049	60.0804	0.0293
T0010,T0033	C054	72.9604	0.0256
T0027,T0034	C058	70.0537	0.0836
T0004,T0028	C000	80.358	0.0817
T0008,T0036	C050	52.9556	0.18
T0036	C055	36.4496	0.18
T0001,T0007	C043	79.8142	0.0573
T0030,T0036	C019	56.345	0.1785
T0015,T0023	C069	39.2195	0.1689
T0036,T0038	C028	68.393	0.18
T0005,T0017	C050	71.5904	0.1095
T0018,T0032	C003	53.2939	0.1323
T0020,T0030	C041	65.1138	0.1552
T0024,T0035	C063	54.1829	0.0487
T0006,T0028	C052	78.7537	0.18
T0006,T0013	C037	52.4227	0.1197
T0003,T0033	C000	81.3813	0.0101
T0019,T0039	C029	52.7623	0.093
T0012,T0036	C002	34.6098	0.1476
T0002,T0031	C046	64.6872	0.0238
T0012,T0029	C029	52.8469	0.1327
T0006,T0023	C012	85.7538	0.1437
T0002,T0025	C067	56.0799	0.0467
T0001,T0026	C074	54.9687	0.1765
T0018,T0030	C063	44.3401	0.18
T0011,T0013	C047	51.5675	0.18
T0003,T0036	C041	62.3887	0.0305
T0003,T0028	C059	44.533	0.0475
T0004,T0014	C078	98.7747	0.0209
T0002,T0007	C005	51.3784	0.1503
T0015,T0032	C014	60.1691	0.0652
T0021,T0028	C022	70.658	0.18
T0006,T0027	C027	98.9065	0.18
T0032,T0034	C052	64.6816	0.18
T0015,T0022	C037	71.5183	0.0505
T0020,T0026	C065	48.1278	0.18
T0024,T0029	C012	31.6817	0.0213
T0025,T0038	C031	48.1685	0.0691
