task_id_list	courier_id	total_score	willingness
T0001,T0030	C037	44.2675	0.0449
T0012	C073	49.999	0.1313
T0018,T0020	C037	57.5343	0.2891
T0025,T0031	C002	60.668	0.2735
T0005,T0018	C035	60.7049	0.0986
T0003,T0022	C037	71.3515	0.0531
T0017,T0037	C069	61.0926	0.0422
T0014	C016	47.4589	0.4873
T0022,T0025	C036	37.1829	0.1005
T0012,T0018	C030	30.4625	0.1895
T0021,T0028	C015	81.7631	0.4367
T0002,T0007	C078	67.357	0.6858
T0008,T0031	C078	76.6323	0.4933
T0006,T0020	C048	37.3167	0.0718
T0007,T0037	C014	86.6806	0.4252
T0015,T0023	C056	76.904	0.573
T0020,T0021	C074	44.4169	0.127
T0006,T0037	C026	37.2816	0.1473
T0005,T0012	C064	49.9248	0.0423
T0007,T0018	C045	40.772	0.0942
T0003,T0015	C016	61.8348	0.2935
T0006,T0007	C001	50.2994	0.1501
T0030	C031	30.3532	0.4698
T0004,T0017	C053	42.6528	0.7273
T0017,T0032	C063	76.2064	0.3632
T0033,T0036	C001	87.2505	0.1928
T0012,T0021	C050	78.2958	0.6042
T0001,T0028	C018	71.7133	0.5856
T0016,T0030	C029	40.1702	0.7558
T0005,T0008	C016	42.776	0.0628
T0013,T0014	C002	71.5926	0.0286
T0033	C021	37.9404	0.6333
T0021	C079	38.986	0.6744
T0003,T0005	C071	46.1878	0.4277
T0015	C071	39.5545	0.9086
T0030,T0032	C077	38.0942	0.3541
T0001,T0014	C061	75.2641	0.5201
T0033,T0036	C050	46.27	0.5047
T0023,T0025	C078	50.3635	0.114
T0012,T0021	C079	68.5267	0.6251
T0007,T0031	C048	50.5409	0.3745
T0023,T0030	C067	55.2948	0.3636
T0015,T0031	C077	44.645	0.1684
T0004,T0015	C056	70.9382	0.4239
T0008,T0022	C002	45.4375	0.1715
T0013,T0015	C052	75.6339	0.3037
T0002,T0023	C029	80.8873	0.3256
T0002,T0011	C064	75.3173	0.1539
T0028,T0032	C039	67.2265	0.1776
T0005,T0015	C070	77.2379	0.2361
T0015,T0020	C030	100	0.3899
T0007,T0012	C013	51.7052	0.1611
T0001,T0033	C004	48.8106	0.6533
T0015,T0036	C011	18.8006	0.049
T0025,T0028	C073	73.8361	0.0973
T0003,T0005	C001	36.8072	0.2542
T0007	C006	15.7683	0.1904
T0031,T0035	C037	76.4412	0.3238
T0002,T0006	C033	28.3535	0.0105
T0016,T0031	C069	75.3924	0.5686
T0025,T0033	C051	58.2549	0.0607
T0003	C015	44.0093	0.1816
T0013,T0017	C043	66.758	0.1234
T0005,T0015	C004	59.7818	0.2154
T0011,T0015	C076	47.2742	0.2814
T0031,T0033	C071	88.8599	0.6399
T0007,T0036	C016	36.8459	0.1447
T0002,T0004	C005	63.6711	0.2796
T0001,T0008	C026	57.6871	0.0697
T0005,T0026	C025	44.608	0.7446
T0004,T0013	C060	39.5167	0.2572
T0001,T0036	C061	57.5095	0.1711
T0021,T0026	C052	55.3311	0.0431
T0004,T0006	C026	31.8797	0.2071
T0007,T0033	C074	74.9271	0.1667
T0014,T0030	C040	83.3285	0.2036
T0032,T0035	C025	76.5522	0.2201
T0015,T0025	C047	68.309	0.2169
T0022,T0025	C041	23.9964	0.1301
T0020,T0037	C033	55.9884	0.2077
T0032	C016	13.3295	0.296
T0011,T0021	C004	27.6382	0.0541
T0021,T0033	C071	64.7177	0.2657
T0014,T0026	C076	48.9877	0.2491
T0031,T0037	C079	51.779	0.2776
T0020,T0036	C001	63.7738	0.381
T0015,T0026	C025	63.7406	0.3387
T0005,T0015	C003	20.5263	0.2241
T0008,T0013	C025	51.4686	0.3392
T0011,T0015	C013	72.535	0.1195
T0022,T0023	C030	87.3398	0.2063
T0037	C031	30.5226	0.8305
T0002,T0012	C065	81.5489	0.7319
T0003,T0017	C033	47.7803	0.0984
T0018,T0028	C077	54.0583	0.3429
T0006,T0022	C030	61.4881	0.2712
T0011	C055	47.7976	0.4485
T0025,T0033	C014	88.6616	0.1973
T0011,T0012	C003	93.0842	0.5943
T0020,T0025	C078	63.5534	0.1682
T0008,T0036	C050	51.9761	0.2976
T0036	C055	35.4705	0.79
T0001,T0007	C043	80.5266	0.1121
T0015,T0023	C069	40.2709	0.3254
T0005,T0017	C050	75.5389	0.2024
T0018,T0032	C003	55.6236	0.1817
T0020,T0030	C041	66.1174	0.2615
T0006,T0028	C052	78.3925	0.2766
T0006,T0013	C037	51.5069	0.1921
T0012,T0036	C002	34.7679	0.2161
T0006,T0023	C012	82.1121	0.2381
T0002,T0025	C067	54.711	0.0679
T0001,T0026	C074	52.0619	0.3034
T0018,T0030	C063	45.7656	0.3127
T0011,T0013	C047	50.3061	0.5412
T0003,T0036	C041	59.903	0.0416
T0004,T0014	C078	99.0793	0.0375
T0002,T0007	C005	52.8739	0.2553
T0015,T0032	C014	58.3107	0.1224
T0021,T0028	C022	72.9021	0.3618
T0015,T0022	C037	70.2863	0.0804
T0020,T0026	C065	48.8197	0.4298
T0007,T0014	C002	42.2006	0.1287
T0006	C065	48.3325	0.3243
T0005,T0022	C050	51.2371	0.2155
T0012,T0036	C053	66.125	0.159
T0025,T0032	C073	90.167	0.3239
T0013,T0016	C048	63.721	0.4808
T0022	C073	24.8234	0.7199
T0032	C027	39.5693	0.2215
T0007,T0037	C045	52.7991	0.0405
T0011,T0036	C071	33.657	0.0774
T0013,T0023	C035	44.0421	0.6988
T0014,T0017	C073	61.4131	0.6743
T0002,T0003	C056	94.9582	0.6567
T0014,T0021	C066	38.0043	0.466
T0008,T0032	C031	87.9032	0.8262
T0006,T0018	C051	63.7361	0.3416
T0025,T0035	C051	34.1342	0.0976
T0016,T0017	C017	74.9711	0.1018
T0006,T0012	C076	43.8789	0.1704
T0012,T0035	C074	44.8072	0.0448
T0012,T0026	C018	98.1406	0.1241
T0033	C052	43.3756	0.2096
T0020,T0021	C026	66.9044	0.4335
T0011,T0017	C006	100	0.01
T0001,T0004	C052	93.1832	0.1228
T0005,T0033	C040	99.331	0.324
T0020	C048	11.8824	0.1242
T0002,T0016	C069	51.8611	0.4195
T0016,T0025	C001	89.5261	0.2434
T0033	C002	29.5464	0.2622
T0004,T0005	C013	83.2232	0.1295
T0008,T0018	C005	53.994	0.6283
T0004,T0030	C035	45.1571	0.2212
T0002,T0028	C063	94.2945	0.6357
T0022,T0023	C045	26.8209	0.1461
T0011,T0028	C003	80.2554	0.2907
T0012,T0014	C052	48.1888	0.1939
T0004	C035	18.438	0.3219
T0002,T0015	C025	51.4248	0.3089
T0002,T0011	C026	58.8018	0.4077
T0020,T0025	C033	58.6394	0.2819
T0020,T0026	C060	73.1672	0.0844
T0031,T0033	C058	38.283	0.3875
T0028,T0033	C061	46.0796	0.4455
T0022	C035	27.6678	0.327
T0004,T0031	C038	46.1027	0.0725
T0020	C039	45.7525	0.159
T0025,T0026	C038	65.1333	0.1634
T0006,T0036	C079	65.8281	0.0521
T0003,T0028	C037	79.9149	0.1256
T0005,T0014	C030	46.1806	0.0811
T0005,T0031	C076	34.7185	0.0106
