task_id_list	courier_id	total_score	willingness
T0012	C073	48.7129	0.16
T0005,T0018	C035	60.9784	0.1154
T0000,T0029	C047	50.7364	0.129
T0021,T0028	C015	80.9786	0.4737
T0021,T0024	C054	53.407	0.5208
T0009,T0031	C017	82.7529	0.6835
T0019,T0020	C039	99.8236	0.024
T0029,T0035	C047	37.1117	0.1405
T0013,T0027	C074	43.9043	0.0479
T0009,T0028	C065	74.5298	0.3036
T0007,T0037	C014	88.6021	0.4677
T0007,T0037	C019	64.5852	0.2604
T0015,T0023	C056	75.2905	0.5574
T0020,T0021	C074	43.5262	0.1139
T0013,T0034	C010	52.216	0.6705
T0016,T0029	C075	97.4936	0.1743
T0000,T0030	C017	73.2988	0.0314
T0006,T0007	C001	48.8233	0.1522
T0037	C010	31.8817	0.6712
T0030	C031	29.4424	0.5268
T0004,T0017	C053	41.6062	0.9032
T0017,T0032	C063	76.2451	0.3849
T0005,T0014	C000	76.024	0.2434
T0033,T0036	C001	86.9193	0.2143
T0012,T0021	C050	78.3588	0.572
T0001,T0028	C018	71.76	0.6139
T0016,T0030	C029	40.8647	0.754
T0001,T0039	C010	26.8173	0.4226
T0000,T0029	C022	77.0789	0.1384
T0021	C079	39.2918	0.7121
T0012,T0034	C033	74.478	0.4022
T0003,T0005	C071	46.4462	0.4751
T0015	C071	39.4787	0.7787
T0030,T0032	C077	38.4759	0.3854
T0001,T0014	C061	73.8559	0.6005
T0033,T0036	C050	46.8117	0.6248
T0006,T0039	C040	30.737	0.3076
T0018,T0036	C023	58.6711	0.2723
T0007,T0010	C056	58.061	0.0923
T0012,T0021	C079	70.6729	0.6296
T0017,T0031	C010	64.4672	0.2281
T0015,T0031	C077	45.6147	0.2018
T0024,T0036	C071	22.4923	0.0773
T0019,T0027	C033	79.165	0.4154
T0004,T0015	C056	71.4481	0.4308
T0008,T0018	C019	54.9959	0.1166
T0013,T0015	C052	76.2247	0.3912
T0002,T0023	C029	80.4583	0.2907
T0029,T0034	C039	35.9818	0.6032
T0008,T0029	C025	31.0299	0.3408
T0000	C012	27.8371	0.8761
T0028,T0032	C039	65.6883	0.1836
T0027	C017	40.1736	0.6075
T0024,T0027	C013	33.7667	0.2334
T0007,T0012	C013	52.5995	0.1951
T0001,T0033	C004	47.1297	0.664
T0025,T0028	C073	74.7835	0.1098
T0005,T0030	C000	37.3938	0.0357
T0009,T0015	C013	64.5617	0.2902
T0003,T0005	C001	36.1744	0.2668
T0013,T0038	C052	84.7826	0.3457
T0007	C006	15.7503	0.2087
T0001,T0002	C075	68.5414	0.4905
T0002,T0006	C033	27.778	0.01
T0003	C015	44.2082	0.2311
