task_id_list	courier_id	total_score	willingness
T0022,T0025	C036	37.6421	0.116
T0002,T0007	C078	68.6946	0.7405
T0029,T0038	C048	49.7859	0.2978
T0023,T0025	C078	49.3909	0.111
T0002,T0025	C062	90.1798	0.0974
T0008	C062	42.7282	0.4929
T0002,T0023	C029	81.1569	0.3003
T0008,T0029	C025	30.9558	0.3267
T0007	C006	15.7966	0.201
T0003,T0027	C074	68.3198	0.1716
T0032,T0038	C041	40.3879	0.3626
T0022,T0025	C041	23.4658	0.1399
T0008,T0027	C038	38.7724	0.5034
T0017,T0023	C049	59.7651	0.0478
T0029,T0032	C049	36.0694	0.2346
T0017,T0023	C062	65.7836	0.4766
T0011,T0017	C006	100	0.01
T0017,T0027	C026	57.298	0.5182
T0007,T0017	C044	53.9407	0.1252
T0002,T0011	C026	57.6863	0.4964
T0022	C035	27.415	0.3622
T0003,T0011	C078	64.6985	0.1777
T0027,T0032	C042	47.9364	0.5056
T0003,T0008	C052	39.4479	0.3972
T0008,T0032	C012	65.0173	0.3382
T0008,T0022	C018	64.0818	0.3472
T0002,T0025	C036	50.2443	0.0763
T0011,T0022	C024	51.3029	0.0135
T0027,T0032	C018	62.7282	0.484
T0002,T0007	C054	67.7235	0.2964
T0025	C011	28.2526	0.2847
T0011,T0027	C041	47.4414	0.1617
T0022,T0032	C041	26.8996	0.3375
T0002,T0029	C050	21.1302	0.2485
T0003	C000	46.5367	0.1595
T0022,T0023	C040	84.7234	0.0956
T0007,T0022	C040	57.1328	0.3941
T0007,T0022	C049	62.8722	0.1806
T0009,T0027	C048	77.3816	0.1449
T0011,T0023	C006	64.6834	0.0521
T0002,T0011	C044	65.9976	0.1175
T0032	C042	34.8509	0.8095
T0014,T0025	C078	67.0116	0.0555
T0003,T0014	C025	68.1124	0.0755
T0017,T0038	C026	56.7874	0.1805
T0025	C050	46.4878	0.3607
T0003,T0032	C009	81.6687	0.4336
T0007,T0008	C025	40.2778	0.2471
T0008,T0022	C000	79.1135	0.0922
T0009,T0011	C036	84.901	0.1572
T0022,T0032	C024	53.2782	0.0261
T0023,T0029	C024	70.8207	0.4402
T0023,T0032	C062	62.3574	0.2021
T0025,T0029	C009	46.6502	0.3191
T0023	C048	17.9237	0.4242
T0003,T0038	C078	42.7832	0.0658
T0003,T0023	C025	84.8002	0.1112
T0014,T0027	C038	40.7844	0.5614
T0011,T0023	C010	56.9753	0.3562
T0009,T0032	C000	77.085	0.2154
T0003,T0029	C044	53.902	0.101
T0009,T0014	C078	57.4861	0.0675
T0003,T0009	C010	40.7105	0.5376
T0023,T0027	C007	26.4597	0.1104
T0008	C026	41.5381	0.1622
T0027,T0032	C052	72.9059	0.5104
T0022	C012	31.659	0.9002
T0038	C022	11.9906	0.2822
T0007,T0025	C044	86.1899	0.3641
T0025	C041	10.4616	0.1089
T0007,T0011	C062	38.5312	0.3015
T0017,T0029	C050	66.8484	0.3259
T0003,T0017	C042	64.6236	0.5781
T0017,T0023	C035	79.3624	0.645
T0003,T0025	C047	66.5996	0.2411
T0017	C052	49.8743	0.6534
T0032	C018	44.2609	0.4874
T0002,T0023	C050	58.8446	0.1217
T0023	C062	25.635	0.5212
T0002,T0007	C040	44.1236	0.604
T0003,T0023	C054	80.3241	0.1766
T0025,T0038	C038	89.3194	0.1824
T0003	C048	42.1824	0.5125
T0003,T0011	C024	70.9196	0.1864
T0003	C054	41.1348	0.2398
T0014,T0025	C018	41.4961	0.1363
T0027,T0038	C025	51.6455	0.1919
T0032	C035	46.4896	0.8321
T0014,T0029	C039	40.5185	0.4961
T0002,T0022	C054	74.7989	0.2558
T0011,T0032	C006	62.7744	0.2276
T0003,T0032	C000	67.2856	0.1069
T0002,T0032	C040	37.8561	0.4627
T0029,T0032	C006	55.7131	0.8063
T0017,T0027	C018	39.9013	0.2151
T0008,T0022	C048	77.0986	0.1684
T0003,T0008	C051	42.7742	0.1455
T0038	C078	21.8467	0.4356
T0014,T0022	C059	69.4704	0.2345
T0014,T0023	C042	50.7015	0.0622
T0017,T0027	C029	36.9917	0.3437
T0003,T0009	C044	65.8652	0.1127
T0009,T0032	C018	68.4965	0.2861
T0002,T0029	C007	55.546	0.0876
T0002,T0011	C039	82.4808	0.629
T0029	C047	16.4709	0.1683
T0008,T0022	C039	68.4703	0.2733
T0002,T0032	C024	69.4345	0.0769
T0002,T0014	C052	57.1871	0.4012
T0022,T0038	C022	30.4815	0.0617
T0011,T0017	C044	70.7569	0.1744
T0023,T0038	C024	51.9353	0.6919
T0003	C051	16.8601	0.7701
T0025,T0029	C010	65.3889	0.1263
T0017	C012	37.0823	0.1568
T0008	C051	21.9018	0.1245
T0002,T0029	C049	24.2927	0.2204
T0032,T0038	C052	69.8433	0.6049
T0007,T0008	C022	44.0754	0.3648
T0017	C039	35.9868	0.4795
T0007,T0025	C025	26.6274	0.283
T0014,T0022	C047	22.8163	0.3921
T0032,T0038	C049	61.1859	0.1102
T0007,T0027	C025	49.1565	0.3631
T0002,T0008	C040	31.8384	0.2035
T0014,T0017	C049	68.2992	0.192
T0014	C078	42.3628	0.096
T0009,T0032	C051	100	0.3596
T0038	C049	38.7361	0.101
T0027,T0029	C018	54.1392	0.2241
T0003,T0032	C026	71.7449	0.0378
T0002	C011	31.4684	0.1587
T0009	C010	10.7458	0.7567
T0003,T0009	C018	57.8464	0.0587
T0011,T0023	C042	69.2046	0.1208
T0022	C054	33.0007	0.4854
T0009,T0023	C036	55.147	0.229
T0008,T0027	C000	60.3496	0.0891
T0032	C041	13.3924	0.3785
T0007,T0009	C007	40.2622	0.1361
T0022,T0025	C007	44.7398	0.2635
T0002,T0009	C048	54.4636	0.0656
T0002,T0032	C039	78.2773	0.6461
T0017,T0032	C052	100	0.5169
T0022,T0038	C038	70.5857	0.3059
T0038	C018	15.0854	0.2587
T0025,T0032	C018	82.5845	0.429
T0032,T0038	C047	65.3485	0.3576
T0002	C074	23.4282	0.4104
T0008,T0017	C078	81.9411	0.2654
T0008,T0023	C049	63.5596	0.0636
T0002,T0014	C062	58.1669	0.2452
T0002,T0038	C024	63.4739	0.1721
T0011	C006	44.6318	0.2377
T0008,T0022	C009	57.5747	0.2109
T0007,T0008	C024	85.6635	0.2275
T0011,T0022	C062	48.0412	0.1001
T0002,T0032	C035	78.8646	0.3187
T0014	C012	40.6482	0.4907
T0007,T0023	C040	85.301	0.2429
T0027,T0029	C054	51.6506	0.1182
T0002,T0023	C059	71.86	0.1834
T0017,T0027	C041	73.2519	0.6517
T0009,T0027	C040	67.7222	0.6334
T0011,T0023	C041	71.2059	0.1349
T0022,T0038	C025	36.0061	0.278
T0014,T0038	C026	56.6297	0.0745
T0007,T0009	C062	65.2233	0.2642
T0007,T0023	C026	90.0042	0.4403
T0014	C026	26.7068	0.2865
T0023,T0038	C062	68.9852	0.3217
T0007,T0027	C059	24.9838	0.6626
T0011,T0014	C038	33.6586	0.4436
T0027,T0032	C054	52.7587	0.2648
T0017	C042	44.3871	0.7779
T0009,T0011	C041	70.6393	0.0104
T0011,T0032	C022	59.6644	0.029
T0003,T0027	C040	33.9322	0.0924
T0002,T0014	C040	48.399	0.3764
T0023	C012	31.0639	0.8067
T0003	C062	19.7986	0.2024
T0017,T0038	C050	96.8225	0.0516
T0007,T0038	C036	68.6793	0.1089
T0002,T0038	C000	52.3561	0.6597
T0011,T0032	C050	58.4566	0.2417
T0007,T0029	C012	61.5891	0.0698
T0011,T0029	C025	46.6495	0.2818
T0022,T0032	C049	33.3698	0.1571
T0009,T0014	C035	92.6268	0.478
T0002,T0017	C050	65.3853	0.2033
T0011	C042	23.0189	0.7853
T0027	C006	45.4945	0.3369
T0003,T0014	C048	52.4429	0.2332
T0009,T0029	C048	60.2504	0.1293
T0014,T0027	C022	39.7952	0.0661
T0008,T0011	C039	100	0.7244
T0002,T0017	C012	57.5587	0.1146
T0011	C025	39.1087	0.6084
T0007,T0017	C051	78.8246	0.0557
T0008,T0017	C026	62.8445	0.1268
T0008,T0022	C052	39.6109	0.2915
T0014,T0023	C000	82.5088	0.2426
T0007,T0025	C051	52.6374	0.01
T0022,T0023	C036	28.6101	0.5774
T0002,T0007	C009	49.0473	0.3358
T0017	C074	48.2126	0.8405
T0017	C018	14.1215	0.2454
T0002,T0008	C010	49.9306	0.3077
T0022,T0025	C051	39.9683	0.2354
T0008,T0009	C047	69.9819	0.4442
T0003,T0032	C047	78.64	0.4537
T0008,T0022	C078	47.1436	0.1574
T0007,T0022	C044	62.091	0.4521
T0002,T0017	C074	59.2078	0.319
T0003,T0027	C042	32.1887	0.298
T0007,T0025	C011	36.5048	0.1487
T0009	C051	48.1021	0.7146
T0007,T0022	C000	40.9602	0.1539
T0007	C078	43.0502	0.9499
T0022	C009	38.8257	0.3702
T0029,T0032	C010	62.683	0.2271
T0009,T0038	C040	64.8004	0.5892
T0008	C029	28.6014	0.153
T0011,T0017	C042	59.2933	0.6013
T0025,T0032	C012	77.9621	0.7153
T0009,T0014	C062	74.5374	0.3557
T0002,T0029	C009	85.0274	0.2233
T0009,T0017	C038	42.4009	0.1402
T0002,T0008	C074	50.0873	0.281
T0017,T0032	C025	88.1394	0.2137
T0038	C010	31.6493	0.5666
T0017,T0032	C010	75.1031	0.1647
T0038	C038	48.4006	0.6605
T0014,T0032	C052	55.3899	0.4419
T0014,T0017	C044	55.6646	0.0284
T0007,T0011	C018	53.0953	0.2652
T0017	C024	32.8458	0.3894
T0023,T0032	C010	74.526	0.2311
T0017	C010	38.395	0.4245
T0038	C029	37.7019	0.6784
T0023,T0029	C011	69.107	0.5009
T0002,T0023	C000	59.3461	0.3282
T0009,T0022	C010	60.4733	0.5623
T0017,T0025	C026	64.5503	0.3051
T0003,T0022	C044	58.3454	0.092
T0022	C036	14.3861	0.6383
T0003,T0027	C050	38.7281	0.0901
T0007,T0038	C078	53.4735	0.4313
T0038	C007	18.2096	0.7949
T0009,T0011	C051	63.9709	0.2793
T0027	C049	45.023	0.7906
T0003,T0032	C062	69.8223	0.0352
T0027	C009	31.9813	0.1453
T0023,T0027	C050	75.8015	0.1455
T0023	C024	34.7092	0.8562
T0011,T0032	C040	42.5888	0.4833
T0003,T0032	C012	67.7676	0.4283
T0023,T0029	C050	53.8508	0.1438
T0027,T0029	C044	33.6259	0.1639
T0023,T0032	C036	50.2468	0.7924
T0002,T0029	C078	43.6642	0.3795
T0025	C024	46.158	0.4345
T0007,T0038	C011	32.7331	0.4507
T0002,T0009	C029	70.0976	0.2051
T0014,T0032	C025	67.9683	0.1532
T0014,T0027	C036	69.3114	0.2906
T0032	C050	40.3953	0.8493
T0007,T0011	C022	23.9553	0.0856
T0003,T0025	C007	52.7447	0.0492
T0032,T0038	C009	68.8853	0.4286
T0008,T0009	C025	76.0805	0.4122
T0008,T0017	C052	87.843	0.4123
T0007	C007	24.9892	0.805
T0025,T0038	C026	49.2761	0.253
T0027,T0032	C041	37.2991	0.3378
T0017,T0029	C047	62.2376	0.0956
T0009	C000	43.105	0.3678
T0007,T0017	C050	99.7168	0.2402
T0011,T0014	C049	57.5647	0.3826
T0009,T0032	C010	49.3628	0.2928
T0008,T0025	C026	84.5049	0.1097
T0027,T0038	C018	34.6781	0.2453
T0014,T0027	C018	39.7975	0.1244
T0022,T0032	C026	66.8666	0.0743
T0007,T0032	C036	86.4215	0.6095
T0003,T0017	C000	70.8036	0.0874
T0009	C006	11.157	0.3163
T0011,T0029	C026	46.8126	0.4155
T0029	C051	20.8035	0.254
