task_id_list	courier_id	total_score	willingness
T0014,T0017	C073	63.5192	0.6176
T0008,T0017	C075	58.6143	0.4634
T0015,T0017	C053	39.3549	0.5784
T0007,T0008	C025	40.4132	0.2239
T0008,T0014	C013	34.7972	0.01
T0008	C013	17.7373	0.1287
T0007,T0015	C064	86.5914	0.3997
T0015	C073	40.6785	0.5148
T0015,T0017	C013	42.8277	0.2282
T0007,T0017	C003	65.4231	0.168
T0015	C075	35.1673	0.2671
T0017	C069	26.8345	0.1034
T0015,T0017	C011	41.6632	0.1869
T0015	C054	32.8115	0.4097
T0007	C075	10.0763	0.38
T0007	C004	42.2734	0.8833
T0008	C029	28.4543	0.1597
T0001	C013	24.4705	0.7469
T0007,T0015	C053	43.5612	0.3831
T0008	C003	13.8312	0.594
T0008,T0017	C003	42.3837	0.1542
T0008,T0015	C053	37.8263	0.152
T0008,T0015	C077	69.4761	0.2374
T0001,T0017	C025	62.7887	0.0884
T0015	C077	37.3854	0.4138
T0014,T0015	C077	80.1734	0.2701
T0008	C077	43.3257	0.7177
T0001,T0008	C025	45.9535	0.227
T0008	C073	37.8288	0.7265
T0001,T0008	C075	84.711	0.3947
T0015,T0017	C027	64.5582	0.1398
T0015,T0017	C069	34.8766	0.0104
T0014,T0017	C077	44.8889	0.1531
T0007,T0015	C077	40.4658	0.1174
T0007,T0008	C053	27.9758	0.1689
T0017	C004	24.6469	0.6477
T0001,T0017	C053	30.9928	0.5207
T0001	C053	10.4082	0.5811
T0014	C011	26.374	0.5396
T0014,T0017	C027	84.8299	0.3143
T0008	C025	25.4107	0.5509
T0015	C053	28.2325	0.618
T0001,T0014	C077	68.848	0.0767
T0001	C011	16.8961	0.2778
T0015	C027	12.258	0.3507
T0014	C073	16.2166	0.9429
T0007,T0008	C027	52.5218	0.0274
T0001,T0017	C077	51.7212	0.0296
T0015	C013	21.0171	0.4109
T0008,T0014	C004	43.0766	0.1936
T0001,T0014	C003	66.6315	0.3703
T0007,T0008	C069	67.9021	0.1659
T0008,T0014	C064	84.0984	0.0961
T0014	C053	28.59	0.2366
T0007	C013	30.8699	0.5809
T0008	C027	11.9614	0.3092
T0001	C003	36.0745	0.8897
T0007	C069	38.2576	0.2252
T0017	C013	31.5015	0.4814
T0001,T0017	C027	75.5862	0.2719
T0008,T0015	C025	62.7036	0.1868
T0014	C029	19.5767	0.831
T0008,T0014	C069	72.5035	0.74
T0007,T0017	C064	73.3002	0.3436
T0001	C029	31.6084	0.2433
T0001	C073	30.0638	0.7527
T0008,T0017	C029	63.8969	0.1037
T0014,T0015	C025	68.2198	0.0255
T0007,T0008	C003	55.5608	0.599
T0014,T0015	C029	83.0889	0.6577
T0007	C027	39.0696	0.2247
T0008	C075	28.6119	0.8118
T0015,T0017	C075	71.1051	0.1702
T0014	C025	22.7804	0.1587
T0017	C053	18.4521	0.9499
T0001	C075	43.4432	0.5257
T0014,T0015	C064	58.2488	0.2903
T0017	C075	44.1268	0.6097
T0008,T0017	C054	34.2835	0.0699
T0015	C003	10.7968	0.4164
T0008	C069	41.2471	0.8559
T0001,T0008	C004	34.3894	0.1516
T0001,T0015	C075	64.5766	0.1272
T0008,T0015	C027	24.2141	0.1755
T0017	C054	12.6205	0.1634
T0015	C004	13.5671	0.6511
T0014,T0017	C069	82.8089	0.0624
T0015,T0017	C025	73.6421	0.1331
T0017	C025	41.734	0.2801
T0008,T0015	C069	64.0751	0.3137
T0007	C054	42.8629	0.8423
T0001,T0015	C003	42.7725	0.2952
T0014	C077	30.8446	0.6807
T0007	C077	10.8774	0.3574
T0007	C064	47.7434	0.4049
T0001,T0007	C029	44.2796	0.1603
T0008	C011	35.3825	0.6384
T0001	C027	43.1403	0.8431
T0001,T0007	C004	77.1687	0.8199
T0008,T0014	C025	49.0184	0.0792
T0008,T0014	C077	79.4918	0.4878
T0007	C003	42.1127	0.8387
T0008,T0014	C054	46.3514	0.2991
T0001,T0015	C025	64.7432	0.1303
T0001,T0014	C027	74.456	0.5962
T0014,T0015	C054	45.5324	0.3041
T0001,T0015	C013	45.7266	0.2969
T0017	C073	43.6828	0.8526
T0014,T0015	C004	49.3086	0.4997
T0008,T0017	C064	62.1736	0.3199
T0007	C053	10.3755	0.6461
T0007	C025	15.8666	0.5008
T0001,T0014	C013	49.5655	0.2524
T0014	C075	26.6148	0.7716
T0007,T0014	C075	31.5249	0.2692
T0001,T0008	C013	49.3411	0.1291
T0007,T0014	C077	34.1797	0.2689
T0001	C077	37.4873	0.1104
T0001,T0008	C054	64.32	0.1247
T0008,T0017	C069	80.5689	0.0611
T0007,T0014	C027	94.2854	0.2388
T0014,T0017	C025	53.7323	0.011
T0001,T0007	C054	81.1231	0.1429
T0014	C069	44.4547	0.9021
T0008,T0017	C053	35.3833	0.2394
T0007,T0014	C029	41.0696	0.5981
T0017	C027	42.055	0.4824
T0001,T0008	C073	69.6804	0.7748
T0014	C013	16.6114	0.3254
T0014,T0017	C054	41.5979	0.0785
T0001,T0007	C075	45.0196	0.1334
T0007,T0015	C027	43.1648	0.0991
T0008	C054	18.3827	0.6293
T0017	C003	29.4849	0.2296
T0001,T0015	C053	43.8964	0.341
T0014	C054	22.5823	0.5453
T0007	C029	21.5135	0.6503
T0015	C069	12.7764	0.3311
T0007	C073	24.5885	0.8473
T0008	C053	13.977	0.2476
T0015	C029	49.6881	0.9281
T0014,T0017	C004	54.6189	0.5274
T0014	C064	36.8328	0.3939
T0001,T0014	C073	54.0722	0.6905
T0017	C077	11.6353	0.2767
T0015	C025	36.4787	0.3888
T0015	C011	11.5177	0.2296
T0001,T0007	C013	48.7155	0.4315
T0014	C003	27.4518	0.3707
T0008,T0014	C029	54.7848	0.1193
T0001,T0015	C027	51.9371	0.3448
T0001,T0017	C029	71.7403	0.1257
T0001	C069	44.0887	0.9038
T0001,T0015	C064	68.8539	0.6877
T0015,T0017	C077	55.3456	0.1942
T0008,T0015	C073	64.0726	0.3653
T0014	C027	40.3873	0.9302
T0007,T0017	C069	64.7314	0.0109
T0001,T0007	C053	19.3493	0.3046
T0008,T0014	C003	43.2886	0.2894
T0017	C064	38.2266	0.8451
T0017	C029	29.661	0.7155
T0014	C004	32.3217	0.8362
T0008,T0017	C011	69.1144	0.5835
T0008,T0017	C004	48.5759	0.1772
T0001,T0007	C069	91.662	0.156
T0001,T0015	C073	76.8637	0.4285
T0015	C064	24.5109	0.9388
T0001,T0008	C053	28.8147	0.1682
T0008,T0014	C053	43.602	0.0545
T0001,T0014	C069	83.5133	0.7638
T0001	C064	34.4757	0.634
T0001	C025	18.0644	0.4678
T0001,T0007	C011	36.872	0.1563
T0008,T0015	C064	54.6555	0.351
T0017	C011	31.9771	0.8645
T0007,T0014	C064	76.5765	0.1944
T0007	C011	15.206	0.5685
T0007,T0008	C004	50.2432	0.1101
T0008	C064	38.3279	0.3859
T0001	C054	42.4372	0.2224
T0008	C004	16.5645	0.2002
T0014,T0015	C003	30.939	0.1755
T0001	C004	23.0564	0.934
T0007,T0008	C077	59.4873	0.2878
T0007,T0014	C054	74.046	0.4736
