Training on 1500 cases from agent\meituan_1500_training_samples_by_scene\case_bank\train for 7200s
{"elapsed_seconds": 37.64, "remaining_seconds": 7162.36, "processed_cases": 1, "logged_trials": 9, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\high_noise_seed601\\high_noise_seed601_aug087.txt", "best_seen": {"valid": true, "covered_tasks": 30, "total_tasks": 30, "missing_tasks": 0, "missing_task_ids": [], "total_score": 689.114, "penalty_score": 392.900127, "parallel_penalty_score": 600.205748, "expected_accepted_tasks": 29.028869, "solution_items": 21, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 3681.329, "strategy_name": "core_default_teacher@9200ms", "budget_ms": 9200.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 357.493, "remaining_seconds": 6842.507, "processed_cases": 12, "logged_trials": 108, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug104.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 125.933, "penalty_score": 99.107775, "parallel_penalty_score": 133.456594, "expected_accepted_tasks": 5.808215, "solution_items": 6, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 13.419, "strategy_name": "core_default_teacher@9200ms", "budget_ms": 9200.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 667.543, "remaining_seconds": 6532.457, "processed_cases": 23, "logged_trials": 207, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug104.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 125.933, "penalty_score": 99.107775, "parallel_penalty_score": 133.456594, "expected_accepted_tasks": 5.808215, "solution_items": 6, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 13.419, "strategy_name": "core_default_teacher@9200ms", "budget_ms": 9200.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 998.053, "remaining_seconds": 6201.947, "processed_cases": 36, "logged_trials": 324, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug104.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 125.933, "penalty_score": 99.107775, "parallel_penalty_score": 133.456594, "expected_accepted_tasks": 5.808215, "solution_items": 6, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 13.419, "strategy_name": "core_default_teacher@9200ms", "budget_ms": 9200.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 1311.05, "remaining_seconds": 5888.95, "processed_cases": 47, "logged_trials": 423, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug104.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 125.933, "penalty_score": 99.107775, "parallel_penalty_score": 133.456594, "expected_accepted_tasks": 5.808215, "solution_items": 6, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 13.419, "strategy_name": "core_default_teacher@9200ms", "budget_ms": 9200.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 1636.93, "remaining_seconds": 5563.07, "processed_cases": 61, "logged_trials": 549, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug104.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 125.933, "penalty_score": 99.107775, "parallel_penalty_score": 133.456594, "expected_accepted_tasks": 5.808215, "solution_items": 6, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 13.419, "strategy_name": "core_default_teacher@9200ms", "budget_ms": 9200.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 1940.089, "remaining_seconds": 5259.911, "processed_cases": 72, "logged_trials": 648, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug125.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 203.91, "penalty_score": 98.224382, "parallel_penalty_score": 166.285272, "expected_accepted_tasks": 5.841758, "solution_items": 5, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 13.215, "strategy_name": "core_default_teacher", "budget_ms": 8500.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 2251.019, "remaining_seconds": 4948.981, "processed_cases": 85, "logged_trials": 765, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug125.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 203.91, "penalty_score": 98.224382, "parallel_penalty_score": 166.285272, "expected_accepted_tasks": 5.841758, "solution_items": 5, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 13.215, "strategy_name": "core_default_teacher", "budget_ms": 8500.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 2551.048, "remaining_seconds": 4648.952, "processed_cases": 96, "logged_trials": 864, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug125.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 203.91, "penalty_score": 98.224382, "parallel_penalty_score": 166.285272, "expected_accepted_tasks": 5.841758, "solution_items": 5, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 13.215, "strategy_name": "core_default_teacher", "budget_ms": 8500.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 2871.525, "remaining_seconds": 4328.475, "processed_cases": 107, "logged_trials": 963, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug125.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 203.91, "penalty_score": 98.224382, "parallel_penalty_score": 166.285272, "expected_accepted_tasks": 5.841758, "solution_items": 5, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 13.215, "strategy_name": "core_default_teacher", "budget_ms": 8500.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 3179.284, "remaining_seconds": 4020.716, "processed_cases": 121, "logged_trials": 1089, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug125.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 203.91, "penalty_score": 98.224382, "parallel_penalty_score": 166.285272, "expected_accepted_tasks": 5.841758, "solution_items": 5, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 13.215, "strategy_name": "core_default_teacher", "budget_ms": 8500.0}, "model_out": "models\\strategy_selector.json"}
